record_id,community_id,noc_code,noc_title,sector,year,is_secondary,restriction_notes,source_url,source_type,first_seen_at,last_seen_at,status,manual_override,review_status
peace-liard|12200|2026,peace-liard,12200,Accounting Technicians and Bookkeepers,Business finance and administration,2026,FALSE,,https://www.nebcimmigration.ca/priority-occupations,manual,2026-09-09T23:22:00Z,2026-09-09T23:22:00Z,active,TRUE,ok
peace-liard|13100|2026,peace-liard,13100,Administrative Officer,Business finance and administration,2026,FALSE,,https://www.nebcimmigration.ca/priority-occupations,manual,2026-09-09T23:22:00Z,2026-09-09T23:22:00Z,active,TRUE,ok
peace-liard|13110|2026,peace-liard,13110,Administrative Assistant,Business finance and administration,2026,FALSE,,https://www.nebcimmigration.ca/priority-occupations,manual,2026-09-09T23:22:00Z,2026-09-09T23:22:00Z,active,TRUE,ok
peace-liard|14100|2026,peace-liard,14100,General Office Support Worker,Business finance and administration,2026,FALSE,,https://www.nebcimmigration.ca/priority-occupations,manual,2026-09-09T23:22:00Z,2026-09-09T23:22:00Z,active,TRUE,ok
peace-liard|14401|2026,peace-liard,14401,Storekeepers and Partspersons,Business finance and administration,2026,FALSE,,https://www.nebcimmigration.ca/priority-occupations,manual,2026-09-09T23:22:00Z,2026-09-09T23:22:00Z,active,TRUE,ok
peace-liard|21222|2026,peace-liard,21222,Information Systems Specialist,Business finance and administration,2026,FALSE,,https://www.nebcimmigration.ca/priority-occupations,manual,2026-09-09T23:22:00Z,2026-09-09T23:22:00Z,active,TRUE,ok
peace-liard|22220|2026,peace-liard,22220,Computer Network and Web Technician,Business finance and administration,2026,FALSE,,https://www.nebcimmigration.ca/priority-occupations,manual,2026-09-09T23:22:00Z,2026-09-09T23:22:00Z,active,TRUE,ok
peace-liard|33103|2026,peace-liard,33103,Pharmacy Technical Assistant,Health,2026,FALSE,,https://www.nebcimmigration.ca/priority-occupations,manual,2026-09-09T23:22:00Z,2026-09-09T23:22:00Z,active,TRUE,ok
peace-liard|33109|2026,peace-liard,33109,Other Assisting Occupations in Support of Health Services,Health,2026,FALSE,,https://www.nebcimmigration.ca/priority-occupations,manual,2026-09-09T23:22:00Z,2026-09-09T23:22:00Z,active,TRUE,ok
peace-liard|42201|2026,peace-liard,42201,Community Service Worker,"Education law and social community and government services",2026,FALSE,,https://www.nebcimmigration.ca/priority-occupations,manual,2026-09-09T23:22:00Z,2026-09-09T23:22:00Z,active,TRUE,ok
peace-liard|42202|2026,peace-liard,42202,Early Childhood Educators and Assistants,"Education law and social community and government services",2026,FALSE,,https://www.nebcimmigration.ca/priority-occupations,manual,2026-09-09T23:22:00Z,2026-09-09T23:22:00Z,active,TRUE,ok
peace-liard|60020|2026,peace-liard,60020,Retail and Wholesale Trade Managers,Sales and service,2026,FALSE,,https://www.nebcimmigration.ca/priority-occupations,manual,2026-09-09T23:22:00Z,2026-09-09T23:22:00Z,active,TRUE,ok
peace-liard|60030|2026,peace-liard,60030,Food Service Managers,Sales and service,2026,FALSE,,https://www.nebcimmigration.ca/priority-occupations,manual,2026-09-09T23:22:00Z,2026-09-09T23:22:00Z,active,TRUE,ok
peace-liard|60031|2026,peace-liard,60031,Accommodation Service Managers,Sales and service,2026,FALSE,,https://www.nebcimmigration.ca/priority-occupations,manual,2026-09-09T23:22:00Z,2026-09-09T23:22:00Z,active,TRUE,ok
peace-liard|62010|2026,peace-liard,62010,Retail Sales Supervisor,Sales and service,2026,FALSE,,https://www.nebcimmigration.ca/priority-occupations,manual,2026-09-09T23:22:00Z,2026-09-09T23:22:00Z,active,TRUE,ok
peace-liard|62020|2026,peace-liard,62020,Food Service Supervisor,Sales and service,2026,FALSE,,https://www.nebcimmigration.ca/priority-occupations,manual,2026-09-09T23:22:00Z,2026-09-09T23:22:00Z,active,TRUE,ok
peace-liard|63200|2026,peace-liard,63200,Cook,Sales and service,2026,FALSE,,https://www.nebcimmigration.ca/priority-occupations,manual,2026-09-09T23:22:00Z,2026-09-09T23:22:00Z,active,TRUE,ok
peace-liard|64314|2026,peace-liard,64314,Front Desk Clerk,Sales and service,2026,FALSE,,https://www.nebcimmigration.ca/priority-occupations,manual,2026-09-09T23:22:00Z,2026-09-09T23:22:00Z,active,TRUE,ok
peace-liard|65100|2026,peace-liard,65100,Cashier,Sales and service,2026,FALSE,,https://www.nebcimmigration.ca/priority-occupations,manual,2026-09-09T23:22:00Z,2026-09-09T23:22:00Z,active,TRUE,ok
peace-liard|65310|2026,peace-liard,65310,Light Duty Cleaner,Sales and service,2026,FALSE,,https://www.nebcimmigration.ca/priority-occupations,manual,2026-09-09T23:22:00Z,2026-09-09T23:22:00Z,active,TRUE,ok
peace-liard|72404|2026,peace-liard,72404,Aircraft Mechanics,Trades and transport,2026,FALSE,,https://www.nebcimmigration.ca/priority-occupations,manual,2026-09-09T23:22:00Z,2026-09-09T23:22:00Z,active,TRUE,ok
peace-liard|72410|2026,peace-liard,72410,Automotive Service Technician,Trades and transport,2026,FALSE,,https://www.nebcimmigration.ca/priority-occupations,manual,2026-09-09T23:22:00Z,2026-09-09T23:22:00Z,active,TRUE,ok
peace-liard|72600|2026,peace-liard,72600,"Air Pilots Flight Engineers and Flying Instructors",Trades and transport,2026,FALSE,,https://www.nebcimmigration.ca/priority-occupations,manual,2026-09-09T23:22:00Z,2026-09-09T23:22:00Z,active,TRUE,ok
peace-liard|73201|2026,peace-liard,73201,General Building Maintenance Workers and Building Superintendents,Trades and transport,2026,FALSE,,https://www.nebcimmigration.ca/priority-occupations,manual,2026-09-09T23:22:00Z,2026-09-09T23:22:00Z,active,TRUE,ok
peace-liard|73300|2026,peace-liard,73300,Transport Truck Drivers (local),Trades and transport,2026,FALSE,Local driving / region restriction per source list if applicable,https://www.nebcimmigration.ca/priority-occupations,manual,2026-09-09T23:22:00Z,2026-09-09T23:22:00Z,active,TRUE,ok
