record_id,community_id,employer_name,locations,sector,recruiting_status,source_url,source_type,first_seen_at,last_seen_at,status,manual_override,review_status,notes
altona-rhineland|access-credit-union-ltd-altona,altona-rhineland,Access Credit Union Ltd. (Altona),"Altona/Rhineland, MB",,not_hiring,https://ared-rpga.com/immigration/rcip-employers/,html,2026-09-10T21:07:37.363Z,2026-09-10T21:07:37.363Z,active,FALSE,new,Source marks employer as not currently hiring.
altona-rhineland|altona-hotel,altona-rhineland,Altona Hotel,"Altona/Rhineland, MB",,unknown,https://ared-rpga.com/immigration/rcip-employers/,html,2026-09-10T21:07:37.363Z,2026-09-10T21:07:37.363Z,active,FALSE,new,
altona-rhineland|ang-s-pizza-bakery,altona-rhineland,Ang's Pizza & Bakery,"Altona/Rhineland, MB",,unknown,https://ared-rpga.com/immigration/rcip-employers/,html,2026-09-10T21:07:37.363Z,2026-09-10T21:07:37.363Z,active,FALSE,new,
altona-rhineland|border-bean-international-inc,altona-rhineland,Border Bean International Inc.,"Altona/Rhineland, MB",,unknown,https://ared-rpga.com/immigration/rcip-employers/,html,2026-09-10T21:07:37.363Z,2026-09-10T21:07:37.363Z,active,FALSE,new,
altona-rhineland|buffalo-creek-mills-2017-inc,altona-rhineland,Buffalo Creek Mills (2017) Inc.,"Altona/Rhineland, MB",,unknown,https://ared-rpga.com/immigration/rcip-employers/,html,2026-09-10T21:07:37.363Z,2026-09-10T21:07:37.363Z,active,FALSE,new,
altona-rhineland|chicken-chef-altona,altona-rhineland,Chicken Chef (Altona),"Altona/Rhineland, MB",,unknown,https://ared-rpga.com/immigration/rcip-employers/,html,2026-09-10T21:07:37.363Z,2026-09-10T21:07:37.363Z,active,FALSE,new,
altona-rhineland|conquest-manufacturing-ltd,altona-rhineland,Conquest Manufacturing Ltd.,"Altona/Rhineland, MB",,unknown,https://ared-rpga.com/immigration/rcip-employers/,html,2026-09-10T21:07:37.363Z,2026-09-10T21:07:37.363Z,active,FALSE,new,
altona-rhineland|elmer-s-welding-manufacturing-ltd,altona-rhineland,Elmer’s Welding & Manufacturing Ltd.,"Altona/Rhineland, MB",,unknown,https://ared-rpga.com/immigration/rcip-employers/,html,2026-09-10T21:07:37.363Z,2026-09-10T21:07:37.363Z,active,FALSE,new,
altona-rhineland|etg-commodities-inc,altona-rhineland,ETG Commodities Inc.,"Altona/Rhineland, MB",,unknown,https://ared-rpga.com/immigration/rcip-employers/,html,2026-09-10T21:07:37.363Z,2026-09-10T21:07:37.363Z,active,FALSE,new,
altona-rhineland|friesens-corporation,altona-rhineland,Friesens Corporation,"Altona/Rhineland, MB",,unknown,https://ared-rpga.com/immigration/rcip-employers/,html,2026-09-10T21:07:37.363Z,2026-09-10T21:07:37.363Z,active,FALSE,new,
altona-rhineland|greenvalley-equipment-2009-inc,altona-rhineland,Greenvalley Equipment (2009) Inc.,"Altona/Rhineland, MB",,unknown,https://ared-rpga.com/immigration/rcip-employers/,html,2026-09-10T21:07:37.363Z,2026-09-10T21:07:37.363Z,active,FALSE,new,
altona-rhineland|kiddie-sunshine-centre-inc,altona-rhineland,Kiddie Sunshine Centre Inc.,"Altona/Rhineland, MB",,unknown,https://ared-rpga.com/immigration/rcip-employers/,html,2026-09-10T21:07:37.363Z,2026-09-10T21:07:37.363Z,active,FALSE,new,
altona-rhineland|klassen-repair-shop-ltd,altona-rhineland,Klassen Repair Shop Ltd.,"Altona/Rhineland, MB",,unknown,https://ared-rpga.com/immigration/rcip-employers/,html,2026-09-10T21:07:37.363Z,2026-09-10T21:07:37.363Z,active,FALSE,new,
