record_id,community_id,employer_name,locations,sector,recruiting_status,source_url,source_type,first_seen_at,last_seen_at,status,manual_override,review_status,notes
brandon|agwest-ltd,brandon,AgWest Ltd.,"Brandon, MB",,unknown,https://economicdevelopmentbrandon.com/rcip/rcip-list-of-designated-employers,html,2026-09-10T21:07:38.696Z,2026-09-10T21:07:38.696Z,active,FALSE,new,
brandon|atom-jet,brandon,Atom - Jet,"Brandon, MB",,unknown,https://economicdevelopmentbrandon.com/rcip/rcip-list-of-designated-employers,html,2026-09-10T21:07:38.696Z,2026-09-10T21:07:38.696Z,active,FALSE,new,
brandon|ben-wiebe-construction-1985-ltd,brandon,Ben Wiebe Construction (1985) Ltd.,"Brandon, MB",,unknown,https://economicdevelopmentbrandon.com/rcip/rcip-list-of-designated-employers,html,2026-09-10T21:07:38.696Z,2026-09-10T21:07:38.696Z,active,FALSE,new,
brandon|brandon-clinic,brandon,Brandon Clinic,"Brandon, MB",,hiring,https://economicdevelopmentbrandon.com/rcip/rcip-list-of-designated-employers,html,2026-09-10T21:07:38.696Z,2026-09-10T21:07:38.696Z,active,FALSE,new,The Brandon Clinic is seeking to hire: Family physicians ( 31102 - General practitioners and family physicians ) Medical specialist ( 31100 - Specialists in clinical and laboratory medicine ) including: Neurologist Rheumatologist Endocrinologist Medical Dermatologist (non-cosmetic) Allergist and/or 
brandon|brandon-computers-itadvisors,brandon,Brandon Computers/ITAdvisors,"Brandon, MB",,unknown,https://economicdevelopmentbrandon.com/rcip/rcip-list-of-designated-employers,html,2026-09-10T21:07:38.696Z,2026-09-10T21:07:38.696Z,active,FALSE,new,
brandon|burns-maendel-consulting-engineers-ltd,brandon,Burns Maendel Consulting Engineers Ltd.,"Brandon, MB",,not_hiring,https://economicdevelopmentbrandon.com/rcip/rcip-list-of-designated-employers,html,2026-09-10T21:07:38.696Z,2026-09-10T21:07:38.696Z,active,FALSE,new,Please note that this employer is currently using the RCIP program to support existing employees only. The company is not seeking to hire internationally and will consider only candidates already residing in Canada for any future openings.
brandon|canada-packers,brandon,Canada Packers,"Brandon, MB",,unknown,https://economicdevelopmentbrandon.com/rcip/rcip-list-of-designated-employers,html,2026-09-10T21:07:38.696Z,2026-09-10T21:07:38.696Z,active,FALSE,new,Please note that Canada Packers is not obligated to endorse all or any current or future employee to RCIP. Designated employers might have internal processes to decide on who to put through RCIP.
brandon|city-of-brandon,brandon,City of Brandon,"Brandon, MB",,unknown,https://economicdevelopmentbrandon.com/rcip/rcip-list-of-designated-employers,html,2026-09-10T21:07:38.696Z,2026-09-10T21:07:38.696Z,active,FALSE,new,The City of Brandon has been designated as an employer under the Rural Community Immigration Pilot (RCIP) to support the recruitment of specialized and hard‑to‑fill positions that cannot be readily filled through the local labour market. It is important to note that RCIP is not a general hiring path
brandon|cutting-edge-construction-ltd,brandon,Cutting Edge Construction Ltd.,"Brandon, MB",,unknown,https://economicdevelopmentbrandon.com/rcip/rcip-list-of-designated-employers,html,2026-09-10T21:07:38.696Z,2026-09-10T21:07:38.696Z,active,FALSE,new,RCIP participation is limited exclusively to existing employees of Cutting Edge Construction Ltd
brandon|dt-roofing,brandon,DT Roofing,"Brandon, MB",,unknown,https://economicdevelopmentbrandon.com/rcip/rcip-list-of-designated-employers,html,2026-09-10T21:07:38.696Z,2026-09-10T21:07:38.696Z,active,FALSE,new,
brandon|excel-7-ltd,brandon,EXCEL-7 LTD,"Brandon, MB",,unknown,https://economicdevelopmentbrandon.com/rcip/rcip-list-of-designated-employers,html,2026-09-10T21:07:38.696Z,2026-09-10T21:07:38.696Z,active,FALSE,new,"At this time, EXCEL-7 is utilizing the RCIP program to support its existing employees and does not have any current job vacancies."
brandon|forman-honda,brandon,Forman Honda,"Brandon, MB",,unknown,https://economicdevelopmentbrandon.com/rcip/rcip-list-of-designated-employers,html,2026-09-10T21:07:38.696Z,2026-09-10T21:07:38.696Z,active,FALSE,new,
brandon|gateway-mechanical-services-inc,brandon,Gateway Mechanical Services Inc.,"Brandon, MB",,unknown,https://economicdevelopmentbrandon.com/rcip/rcip-list-of-designated-employers,html,2026-09-10T21:07:38.696Z,2026-09-10T21:07:38.696Z,active,FALSE,new,
brandon|glendale-industries-limited,brandon,Glendale Industries Limited,"Brandon, MB",,not_hiring,https://economicdevelopmentbrandon.com/rcip/rcip-list-of-designated-employers,html,2026-09-10T21:07:38.696Z,2026-09-10T21:07:38.696Z,active,FALSE,new,Glendale Industries Limited is not hiring at this time. Please do not contact the employer.
brandon|horizon-builders-ltd,brandon,Horizon Builders Ltd.,"Brandon, MB",,unknown,https://economicdevelopmentbrandon.com/rcip/rcip-list-of-designated-employers,html,2026-09-10T21:07:38.696Z,2026-09-10T21:07:38.696Z,active,FALSE,new,
brandon|horizon-woodwork-ltd,brandon,Horizon Woodwork Ltd,"Brandon, MB",,unknown,https://economicdevelopmentbrandon.com/rcip/rcip-list-of-designated-employers,html,2026-09-10T21:07:38.696Z,2026-09-10T21:07:38.696Z,active,FALSE,new,
brandon|keller-developments,brandon,Keller Developments,"Brandon, MB",,unknown,https://economicdevelopmentbrandon.com/rcip/rcip-list-of-designated-employers,html,2026-09-10T21:07:38.696Z,2026-09-10T21:07:38.696Z,active,FALSE,new,
brandon|koch-fertilizer-canada-ulc,brandon,"Koch Fertilizer Canada, ULC","Brandon, MB",,unknown,https://economicdevelopmentbrandon.com/rcip/rcip-list-of-designated-employers,html,2026-09-10T21:07:38.696Z,2026-09-10T21:07:38.696Z,active,FALSE,new,
brandon|leech-group,brandon,Leech Group,"Brandon, MB",,unknown,https://economicdevelopmentbrandon.com/rcip/rcip-list-of-designated-employers,html,2026-09-10T21:07:38.696Z,2026-09-10T21:07:38.696Z,active,FALSE,new,
brandon|lucky-star-wash-service-ltd,brandon,Lucky Star Wash & Service Ltd.,"Brandon, MB",,unknown,https://economicdevelopmentbrandon.com/rcip/rcip-list-of-designated-employers,html,2026-09-10T21:07:38.696Z,2026-09-10T21:07:38.696Z,active,FALSE,new,
brandon|magical-memories-learning-center-inc,brandon,Magical Memories Learning Center Inc.,"Brandon, MB",,unknown,https://economicdevelopmentbrandon.com/rcip/rcip-list-of-designated-employers,html,2026-09-10T21:07:38.696Z,2026-09-10T21:07:38.696Z,active,FALSE,new,
brandon|mccallum-roofing-ltd,brandon,McCallum Roofing Ltd.,"Brandon, MB",,unknown,https://economicdevelopmentbrandon.com/rcip/rcip-list-of-designated-employers,html,2026-09-10T21:07:38.696Z,2026-09-10T21:07:38.696Z,active,FALSE,new,
brandon|modular-industrial-structures-brandon-misb,brandon,Modular Industrial Structures Brandon (MISB),"Brandon, MB",,not_hiring,https://economicdevelopmentbrandon.com/rcip/rcip-list-of-designated-employers,html,2026-09-10T21:07:38.696Z,2026-09-10T21:07:38.696Z,active,FALSE,new,Please note that this employer is currently using the RCIP program to support existing employees only. The company is not seeking to hire internationally and will consider only candidates already residing in Canada for any future openings.
brandon|montessori-smile,brandon,Montessori Smile,"Brandon, MB",,unknown,https://economicdevelopmentbrandon.com/rcip/rcip-list-of-designated-employers,html,2026-09-10T21:07:38.696Z,2026-09-10T21:07:38.696Z,active,FALSE,new,
brandon|prairie-mountain-health-pmh,brandon,Prairie Mountain Health (PMH),"Brandon, MB",,unknown,https://economicdevelopmentbrandon.com/rcip/rcip-list-of-designated-employers,html,2026-09-10T21:07:38.696Z,2026-09-10T21:07:38.696Z,active,FALSE,new,"ONLY POSITIONS WITHIN THE BRANDON RCIP PROGRAM BOUNDARIES ARE ELIGIBLE. Although PMH is a Designated Employer, there is only one approved location: Brandon, Manitoba. While PMH operates throughout the prairie region, only positions in Brandon qualify for RCIP. If you are not licensed to practice in "
brandon|princess-dental,brandon,Princess Dental,"Brandon, MB",,unknown,https://economicdevelopmentbrandon.com/rcip/rcip-list-of-designated-employers,html,2026-09-10T21:07:38.696Z,2026-09-10T21:07:38.696Z,active,FALSE,new,
brandon|quarry-hills-excavation-gravel-ltd,brandon,Quarry Hills Excavation & Gravel Ltd,"Brandon, MB",,unknown,https://economicdevelopmentbrandon.com/rcip/rcip-list-of-designated-employers,html,2026-09-10T21:07:38.696Z,2026-09-10T21:07:38.696Z,active,FALSE,new,
brandon|saputo-dairy-products-canada-g-p,brandon,Saputo Dairy Products Canada G.P.,"Brandon, MB",,unknown,https://economicdevelopmentbrandon.com/rcip/rcip-list-of-designated-employers,html,2026-09-10T21:07:38.696Z,2026-09-10T21:07:38.696Z,active,FALSE,new,
brandon|shared-health,brandon,Shared Health,"Brandon, MB",,unknown,https://economicdevelopmentbrandon.com/rcip/rcip-list-of-designated-employers,html,2026-09-10T21:07:38.696Z,2026-09-10T21:07:38.696Z,active,FALSE,new,
brandon|shreem-instrumentation-controls-ltd,brandon,Shreem Instrumentation & Controls Ltd.,"Brandon, MB",,unknown,https://economicdevelopmentbrandon.com/rcip/rcip-list-of-designated-employers,html,2026-09-10T21:07:38.696Z,2026-09-10T21:07:38.696Z,active,FALSE,new,
brandon|sisson-auto,brandon,Sisson Auto,"Brandon, MB",,unknown,https://economicdevelopmentbrandon.com/rcip/rcip-list-of-designated-employers,html,2026-09-10T21:07:38.696Z,2026-09-10T21:07:38.696Z,active,FALSE,new,Sisson Auto is seeking experienced Automotive Service Technicians who are currently residing and authorized to work in Canada.
brandon|steve-s-livestock-transport,brandon,Steve’s Livestock Transport,"Brandon, MB",,unknown,https://economicdevelopmentbrandon.com/rcip/rcip-list-of-designated-employers,html,2026-09-10T21:07:38.696Z,2026-09-10T21:07:38.696Z,active,FALSE,new,
brandon|summus-inc,brandon,Summus Inc.,"Brandon, MB",,unknown,https://economicdevelopmentbrandon.com/rcip/rcip-list-of-designated-employers,html,2026-09-10T21:07:38.696Z,2026-09-10T21:07:38.696Z,active,FALSE,new,
brandon|technology-solve,brandon,Technology Solve,"Brandon, MB",,unknown,https://economicdevelopmentbrandon.com/rcip/rcip-list-of-designated-employers,html,2026-09-10T21:07:38.696Z,2026-09-10T21:07:38.696Z,active,FALSE,new,
brandon|the-wellness-clinic,brandon,The Wellness Clinic,"Brandon, MB",,hiring,https://economicdevelopmentbrandon.com/rcip/rcip-list-of-designated-employers,html,2026-09-10T21:07:38.696Z,2026-09-10T21:07:38.696Z,active,FALSE,new,"The Wellness Clinic is hiring Family Physicians (NOC 31102, Minimum CLB 6)! Priority will be given to applicants who are already in Canada and available to start immediately. If you have relevant experience and meet the eligibility criteria for the RCIP, please submit your interest using the followi"
brandon|walsh-construction,brandon,Walsh Construction,"Brandon, MB",,unknown,https://economicdevelopmentbrandon.com/rcip/rcip-list-of-designated-employers,html,2026-09-10T21:07:38.696Z,2026-09-10T21:07:38.696Z,active,FALSE,new,
brandon|western-medical-clinic,brandon,Western Medical Clinic,"Brandon, MB",,hiring,https://economicdevelopmentbrandon.com/rcip/rcip-list-of-designated-employers,html,2026-09-10T21:07:38.696Z,2026-09-10T21:07:38.696Z,active,FALSE,new,"Western Medical Clinic is seeking to hire Family Physicians ( 31102 - General practitioners and family physicians ) on a fee-for-service basis, who are trained in Canada, the United Kingdom, Ireland, USA or Australia. At Western Medical Clinic, you will find more than just a place to practise medici"
brandon|westman-communications-group,brandon,Westman Communications Group,"Brandon, MB",,unknown,https://economicdevelopmentbrandon.com/rcip/rcip-list-of-designated-employers,html,2026-09-10T21:07:38.696Z,2026-09-10T21:07:38.696Z,active,FALSE,new,Westman Communications Group (WCG) is leveraging the RCIP Program to support existing team members only. Thank you in advance for your understanding.
brandon|wheat-city-medical-clinic-and-pharmacy,brandon,Wheat City Medical Clinic and Pharmacy,"Brandon, MB",,unknown,https://economicdevelopmentbrandon.com/rcip/rcip-list-of-designated-employers,html,2026-09-10T21:07:38.696Z,2026-09-10T21:07:38.696Z,active,FALSE,new,
brandon|ymca-of-brandon,brandon,YMCA of Brandon,"Brandon, MB",,not_hiring,https://economicdevelopmentbrandon.com/rcip/rcip-list-of-designated-employers,html,2026-09-10T21:07:38.696Z,2026-09-10T21:07:38.696Z,active,FALSE,new,Please note that the YMCA of Brandon is leveraging the RCIP program to support existing employees only.
