record_id,community_id,employer_name,locations,sector,recruiting_status,source_url,source_type,first_seen_at,last_seen_at,status,manual_override,review_status,notes
claresholm|a-w,claresholm,A&W,"Claresholm, AB",Sales & Services,not_hiring,https://www.claresholm.ca/business/labour-resources/rural-community-immigration-pilot,html,2026-09-10T21:07:41.356Z,2026-09-10T21:07:41.356Z,active,FALSE,new,
claresholm|antree,claresholm,Antree,"Claresholm, AB",Sales & Services,not_hiring,https://www.claresholm.ca/business/labour-resources/rural-community-immigration-pilot,html,2026-09-10T21:07:41.356Z,2026-09-10T21:07:41.356Z,active,FALSE,new,
claresholm|brc-aircraft,claresholm,BRC Aircraft,"Claresholm, AB",Manufacturing & Utilities,not_hiring,https://www.claresholm.ca/business/labour-resources/rural-community-immigration-pilot,html,2026-09-10T21:07:41.356Z,2026-09-10T21:07:41.356Z,active,FALSE,new,
claresholm|capstone-claresholm-solar,claresholm,Capstone (Claresholm Solar),"Claresholm, AB",Manufacturing and Utilities,not_hiring,https://www.claresholm.ca/business/labour-resources/rural-community-immigration-pilot,html,2026-09-10T21:07:41.356Z,2026-09-10T21:07:41.356Z,active,FALSE,new,
claresholm|casa-roma,claresholm,Casa Roma,"Claresholm, AB",Sales & Services,not_hiring,https://www.claresholm.ca/business/labour-resources/rural-community-immigration-pilot,html,2026-09-10T21:07:41.356Z,2026-09-10T21:07:41.356Z,active,FALSE,new,
claresholm|cfi-flight-academy,claresholm,CFI Flight Academy,"Claresholm, AB",Education & Law,not_hiring,https://www.claresholm.ca/business/labour-resources/rural-community-immigration-pilot,html,2026-09-10T21:07:41.356Z,2026-09-10T21:07:41.356Z,active,FALSE,new,
claresholm|el-molino,claresholm,El Molino,"Claresholm, AB",Manufacturing and Utilities,not_hiring,https://www.claresholm.ca/business/labour-resources/rural-community-immigration-pilot,html,2026-09-10T21:07:41.356Z,2026-09-10T21:07:41.356Z,active,FALSE,new,
claresholm|fas-gas-and-kitchen,claresholm,Fas Gas And Kitchen,"Claresholm, AB",Sales & Services,not_hiring,https://www.claresholm.ca/business/labour-resources/rural-community-immigration-pilot,html,2026-09-10T21:07:41.356Z,2026-09-10T21:07:41.356Z,active,FALSE,new,
claresholm|kaz-s-service,claresholm,Kaz's Service,"Claresholm, AB",Trades and Transport,not_hiring,https://www.claresholm.ca/business/labour-resources/rural-community-immigration-pilot,html,2026-09-10T21:07:41.356Z,2026-09-10T21:07:41.356Z,active,FALSE,new,
claresholm|kc-doors,claresholm,KC Doors,"Claresholm, AB",Manufacturing and Utilities,hiring,https://www.claresholm.ca/business/labour-resources/rural-community-immigration-pilot,html,2026-09-10T21:07:41.356Z,2026-09-10T21:07:41.356Z,active,FALSE,new,
claresholm|lamb-farms,claresholm,Lamb Farms,"Claresholm, AB",Agriculture,not_hiring,https://www.claresholm.ca/business/labour-resources/rural-community-immigration-pilot,html,2026-09-10T21:07:41.356Z,2026-09-10T21:07:41.356Z,active,FALSE,new,
claresholm|meadow-creek-meats-sausage,claresholm,Meadow Creek Meats & Sausage,"Claresholm, AB",Manufacturing & Utilities,not_hiring,https://www.claresholm.ca/business/labour-resources/rural-community-immigration-pilot,html,2026-09-10T21:07:41.356Z,2026-09-10T21:07:41.356Z,active,FALSE,new,
