record_id,community_id,noc_code,noc_title,sector,year,is_secondary,restriction_notes,source_url,source_type,first_seen_at,last_seen_at,status,manual_override,review_status
claresholm|13100|2026,claresholm,13100,Administrative Officers,"Business, finance and administration",2026,FALSE,,https://www.claresholm.ca/business/labour-resources/rural-community-immigration-pilot,html,2026-09-10T21:07:41.344Z,2026-09-10T21:07:41.344Z,active,FALSE,new
claresholm|13110|2026,claresholm,13110,Administrative assistant,"Business, finance and administration",2026,FALSE,,https://www.claresholm.ca/business/labour-resources/rural-community-immigration-pilot,html,2026-09-10T21:07:41.344Z,2026-09-10T21:07:41.344Z,active,FALSE,new
claresholm|20010|2026,claresholm,20010,Engineering Manager,,2026,FALSE,,https://www.claresholm.ca/business/labour-resources/rural-community-immigration-pilot,html,2026-09-10T21:07:41.344Z,2026-09-10T21:07:41.344Z,active,FALSE,new
claresholm|21390|2026,claresholm,21390,Aerospace engineer,,2026,FALSE,,https://www.claresholm.ca/business/labour-resources/rural-community-immigration-pilot,html,2026-09-10T21:07:41.344Z,2026-09-10T21:07:41.344Z,active,FALSE,new
claresholm|22100|2026,claresholm,22100,Chemical technologist and technicians,,2026,FALSE,,https://www.claresholm.ca/business/labour-resources/rural-community-immigration-pilot,html,2026-09-10T21:07:41.344Z,2026-09-10T21:07:41.344Z,active,FALSE,new
claresholm|22232|2026,claresholm,22232,Sr. Health and Safety Coordinator,,2026,FALSE,,https://www.claresholm.ca/business/labour-resources/rural-community-immigration-pilot,html,2026-09-10T21:07:41.344Z,2026-09-10T21:07:41.344Z,active,FALSE,new
claresholm|22301|2026,claresholm,22301,Mechanical Engineering Technologist and technicians,,2026,FALSE,,https://www.claresholm.ca/business/labour-resources/rural-community-immigration-pilot,html,2026-09-10T21:07:41.344Z,2026-09-10T21:07:41.344Z,active,FALSE,new
claresholm|31301|2026,claresholm,31301,Registered Nurse,Health,2026,FALSE,,https://www.claresholm.ca/business/labour-resources/rural-community-immigration-pilot,html,2026-09-10T21:07:41.344Z,2026-09-10T21:07:41.344Z,active,FALSE,new
claresholm|32101|2026,claresholm,32101,Licensed Practical Nurse,Health,2026,FALSE,,https://www.claresholm.ca/business/labour-resources/rural-community-immigration-pilot,html,2026-09-10T21:07:41.344Z,2026-09-10T21:07:41.344Z,active,FALSE,new
claresholm|33102|2026,claresholm,33102,Nurse aides,Health,2026,FALSE,,https://www.claresholm.ca/business/labour-resources/rural-community-immigration-pilot,html,2026-09-10T21:07:41.344Z,2026-09-10T21:07:41.344Z,active,FALSE,new
claresholm|63200|2026,claresholm,63200,Cook,Sales and service,2026,FALSE,,https://www.claresholm.ca/business/labour-resources/rural-community-immigration-pilot,html,2026-09-10T21:07:41.344Z,2026-09-10T21:07:41.344Z,active,FALSE,new
claresholm|65202|2026,claresholm,65202,Meat cutters,Sales and service,2026,FALSE,,https://www.claresholm.ca/business/labour-resources/rural-community-immigration-pilot,html,2026-09-10T21:07:41.344Z,2026-09-10T21:07:41.344Z,active,FALSE,new
claresholm|72014|2026,claresholm,72014,Concrete finishing foreman/woman,Trades and transport,2026,FALSE,,https://www.claresholm.ca/business/labour-resources/rural-community-immigration-pilot,html,2026-09-10T21:07:41.344Z,2026-09-10T21:07:41.344Z,active,FALSE,new
claresholm|72310|2026,claresholm,72310,Carpenter,Trades and transport,2026,FALSE,,https://www.claresholm.ca/business/labour-resources/rural-community-immigration-pilot,html,2026-09-10T21:07:41.344Z,2026-09-10T21:07:41.344Z,active,FALSE,new
claresholm|72404|2026,claresholm,72404,Aircraft mechanic,Trades and transport,2026,FALSE,,https://www.claresholm.ca/business/labour-resources/rural-community-immigration-pilot,html,2026-09-10T21:07:41.344Z,2026-09-10T21:07:41.344Z,active,FALSE,new
claresholm|72600|2026,claresholm,72600,Flight Instructor,Trades and transport,2026,FALSE,,https://www.claresholm.ca/business/labour-resources/rural-community-immigration-pilot,html,2026-09-10T21:07:41.344Z,2026-09-10T21:07:41.344Z,active,FALSE,new
claresholm|73100|2026,claresholm,73100,Concrete Finishers,Trades and transport,2026,FALSE,,https://www.claresholm.ca/business/labour-resources/rural-community-immigration-pilot,html,2026-09-10T21:07:41.344Z,2026-09-10T21:07:41.344Z,active,FALSE,new
claresholm|75119|2026,claresholm,75119,Mechanic Helper,Trades and transport,2026,FALSE,,https://www.claresholm.ca/business/labour-resources/rural-community-immigration-pilot,html,2026-09-10T21:07:41.344Z,2026-09-10T21:07:41.344Z,active,FALSE,new
claresholm|84120|2026,claresholm,84120,Specialized livestock workers and farm machinery operators,Agriculture,2026,FALSE,,https://www.claresholm.ca/business/labour-resources/rural-community-immigration-pilot,html,2026-09-10T21:07:41.344Z,2026-09-10T21:07:41.344Z,active,FALSE,new
claresholm|92022|2026,claresholm,92022,"Supervisors, furniture and fixtures manufacturing",Manufacturing and utilities,2026,FALSE,,https://www.claresholm.ca/business/labour-resources/rural-community-immigration-pilot,html,2026-09-10T21:07:41.344Z,2026-09-10T21:07:41.344Z,active,FALSE,new
claresholm|93200|2026,claresholm,93200,Aircraft assembler,Manufacturing and utilities,2026,FALSE,,https://www.claresholm.ca/business/labour-resources/rural-community-immigration-pilot,html,2026-09-10T21:07:41.344Z,2026-09-10T21:07:41.344Z,active,FALSE,new
claresholm|94103|2026,claresholm,94103,Stone Saw Operator,Manufacturing and utilities,2026,FALSE,Effective July 1st,https://www.claresholm.ca/business/labour-resources/rural-community-immigration-pilot,html,2026-09-10T21:07:41.344Z,2026-09-10T21:07:41.344Z,active,FALSE,new
claresholm|94106|2026,claresholm,94106,Machining tool operators,Manufacturing and utilities,2026,FALSE,,https://www.claresholm.ca/business/labour-resources/rural-community-immigration-pilot,html,2026-09-10T21:07:41.344Z,2026-09-10T21:07:41.344Z,active,FALSE,new
claresholm|94124|2026,claresholm,94124,Woodworking Machine Operators,Manufacturing and utilities,2026,FALSE,,https://www.claresholm.ca/business/labour-resources/rural-community-immigration-pilot,html,2026-09-10T21:07:41.344Z,2026-09-10T21:07:41.344Z,active,FALSE,new
claresholm|94140|2026,claresholm,94140,"Machine operators, Process control, food and beverage processing",Manufacturing and utilities,2026,FALSE,,https://www.claresholm.ca/business/labour-resources/rural-community-immigration-pilot,html,2026-09-10T21:07:41.344Z,2026-09-10T21:07:41.344Z,active,FALSE,new
claresholm|95106|2026,claresholm,95106,Labourers in food and beverage processing,Manufacturing and utilities,2026,FALSE,,https://www.claresholm.ca/business/labour-resources/rural-community-immigration-pilot,html,2026-09-10T21:07:41.344Z,2026-09-10T21:07:41.344Z,active,FALSE,new
