record_id,community_id,employer_name,locations,sector,recruiting_status,source_url,source_type,first_seen_at,last_seen_at,status,manual_override,review_status,notes
moose-jaw|121-steakhouse-lounge-c-motel,moose-jaw,121 Steakhouse Lounge C Motel,"Moose Jaw, SK",,unknown,https://rcip.mjchamber.com/wp-content/uploads/2026/08/designated-employer-list-AUG-26.pdf,pdf,2026-09-10T21:07:40.871Z,2026-09-10T21:07:40.871Z,active,FALSE,new,Multi-column PDF; some names may be merged or split incorrectly.
moose-jaw|4l-communications,moose-jaw,4L Communications,"Moose Jaw, SK",,unknown,https://rcip.mjchamber.com/wp-content/uploads/2026/08/designated-employer-list-AUG-26.pdf,pdf,2026-09-10T21:07:40.871Z,2026-09-10T21:07:40.871Z,active,FALSE,new,Multi-column PDF; some names may be merged or split incorrectly.
moose-jaw|a-w-canalta,moose-jaw,A&W Canalta,"Moose Jaw, SK",,unknown,https://rcip.mjchamber.com/wp-content/uploads/2026/08/designated-employer-list-AUG-26.pdf,pdf,2026-09-10T21:07:40.871Z,2026-09-10T21:07:40.871Z,active,FALSE,new,Multi-column PDF; some names may be merged or split incorrectly.
moose-jaw|abc-early-learning-explorers,moose-jaw,ABC Early Learning Explorers,"Moose Jaw, SK",,unknown,https://rcip.mjchamber.com/wp-content/uploads/2026/08/designated-employer-list-AUG-26.pdf,pdf,2026-09-10T21:07:40.871Z,2026-09-10T21:07:40.871Z,active,FALSE,new,Multi-column PDF; some names may be merged or split incorrectly.
moose-jaw|agrilink,moose-jaw,AgriLink,"Moose Jaw, SK",,unknown,https://rcip.mjchamber.com/wp-content/uploads/2026/08/designated-employer-list-AUG-26.pdf,pdf,2026-09-10T21:07:40.871Z,2026-09-10T21:07:40.871Z,active,FALSE,new,Multi-column PDF; some names may be merged or split incorrectly.
moose-jaw|alayo-medical-clinic,moose-jaw,Alayo Medical Clinic,"Moose Jaw, SK",,unknown,https://rcip.mjchamber.com/wp-content/uploads/2026/08/designated-employer-list-AUG-26.pdf,pdf,2026-09-10T21:07:40.871Z,2026-09-10T21:07:40.871Z,active,FALSE,new,Multi-column PDF; some names may be merged or split incorrectly.
moose-jaw|all-in-one-truck-and-trailer,moose-jaw,All-in-One Truck and Trailer,"Moose Jaw, SK",,unknown,https://rcip.mjchamber.com/wp-content/uploads/2026/08/designated-employer-list-AUG-26.pdf,pdf,2026-09-10T21:07:40.871Z,2026-09-10T21:07:40.871Z,active,FALSE,new,Multi-column PDF; some names may be merged or split incorrectly.
moose-jaw|athabasca-financial,moose-jaw,Athabasca Financial,"Moose Jaw, SK",,unknown,https://rcip.mjchamber.com/wp-content/uploads/2026/08/designated-employer-list-AUG-26.pdf,pdf,2026-09-10T21:07:40.871Z,2026-09-10T21:07:40.871Z,active,FALSE,new,Multi-column PDF; some names may be merged or split incorrectly.
moose-jaw|avenue-living,moose-jaw,Avenue Living,"Moose Jaw, SK",,unknown,https://rcip.mjchamber.com/wp-content/uploads/2026/08/designated-employer-list-AUG-26.pdf,pdf,2026-09-10T21:07:40.871Z,2026-09-10T21:07:40.871Z,active,FALSE,new,Multi-column PDF; some names may be merged or split incorrectly.
moose-jaw|bank-moose-jaw,moose-jaw,Bank Moose Jaw,"Moose Jaw, SK",,unknown,https://rcip.mjchamber.com/wp-content/uploads/2026/08/designated-employer-list-AUG-26.pdf,pdf,2026-09-10T21:07:40.871Z,2026-09-10T21:07:40.871Z,active,FALSE,new,Multi-column PDF; some names may be merged or split incorrectly.
moose-jaw|barburrito,moose-jaw,Barburrito,"Moose Jaw, SK",,unknown,https://rcip.mjchamber.com/wp-content/uploads/2026/08/designated-employer-list-AUG-26.pdf,pdf,2026-09-10T21:07:40.871Z,2026-09-10T21:07:40.871Z,active,FALSE,new,Multi-column PDF; some names may be merged or split incorrectly.
moose-jaw|best-western,moose-jaw,Best Western,"Moose Jaw, SK",,unknown,https://rcip.mjchamber.com/wp-content/uploads/2026/08/designated-employer-list-AUG-26.pdf,pdf,2026-09-10T21:07:40.871Z,2026-09-10T21:07:40.871Z,active,FALSE,new,Multi-column PDF; some names may be merged or split incorrectly.
moose-jaw|boston-pizza,moose-jaw,Boston Pizza,"Moose Jaw, SK",,unknown,https://rcip.mjchamber.com/wp-content/uploads/2026/08/designated-employer-list-AUG-26.pdf,pdf,2026-09-10T21:07:40.871Z,2026-09-10T21:07:40.871Z,active,FALSE,new,Multi-column PDF; some names may be merged or split incorrectly.
moose-jaw|briercrest-college,moose-jaw,Briercrest College,"Moose Jaw, SK",,unknown,https://rcip.mjchamber.com/wp-content/uploads/2026/08/designated-employer-list-AUG-26.pdf,pdf,2026-09-10T21:07:40.871Z,2026-09-10T21:07:40.871Z,active,FALSE,new,Multi-column PDF; some names may be merged or split incorrectly.
moose-jaw|brilliant-cleaners,moose-jaw,Brilliant Cleaners,"Moose Jaw, SK",,unknown,https://rcip.mjchamber.com/wp-content/uploads/2026/08/designated-employer-list-AUG-26.pdf,pdf,2026-09-10T21:07:40.871Z,2026-09-10T21:07:40.871Z,active,FALSE,new,Multi-column PDF; some names may be merged or split incorrectly.
moose-jaw|brown-s-social,moose-jaw,Brown’s Social,"Moose Jaw, SK",,unknown,https://rcip.mjchamber.com/wp-content/uploads/2026/08/designated-employer-list-AUG-26.pdf,pdf,2026-09-10T21:07:40.871Z,2026-09-10T21:07:40.871Z,active,FALSE,new,Multi-column PDF; some names may be merged or split incorrectly.
moose-jaw|btn-professional-accountants,moose-jaw,BTN Professional Accountants,"Moose Jaw, SK",,unknown,https://rcip.mjchamber.com/wp-content/uploads/2026/08/designated-employer-list-AUG-26.pdf,pdf,2026-09-10T21:07:40.871Z,2026-09-10T21:07:40.871Z,active,FALSE,new,Multi-column PDF; some names may be merged or split incorrectly.
