record_id,community_id,employer_name,locations,sector,recruiting_status,source_url,source_type,first_seen_at,last_seen_at,status,manual_override,review_status,notes
north-bay|15615500-canada-inc,north-bay,15615500 Canada Inc,"North Bay & Area, ON",Sales and Service,not_hiring,https://nbrcip.ca/designated-employers/,api,2026-09-10T19:56:06.040Z,2026-09-10T19:56:06.040Z,active,FALSE,new,Source status: Not Hiring
north-bay|1886-lake-house-bistro,north-bay,1886 Lake House Bistro,"North Bay & Area, ON",Sales and Service,not_hiring,https://nbrcip.ca/designated-employers/,api,2026-09-10T19:56:06.040Z,2026-09-10T19:56:06.040Z,active,FALSE,new,Source status: Not Hiring
north-bay|2615498-ontario-inc,north-bay,2615498 Ontario Inc,"North Bay & Area, ON",Sales and Service,not_hiring,https://nbrcip.ca/designated-employers/,api,2026-09-10T19:56:06.040Z,2026-09-10T19:56:06.040Z,active,FALSE,new,Source status: Not Hiring
north-bay|2795249-ontario-inc,north-bay,2795249 Ontario Inc,"North Bay & Area, ON",Sales and Service,not_hiring,https://nbrcip.ca/designated-employers/,api,2026-09-10T19:56:06.040Z,2026-09-10T19:56:06.040Z,active,FALSE,new,Source status: Not Hiring
north-bay|a-j-ferreira-homes,north-bay,A & J Ferreira Homes,"North Bay & Area, ON","Trades, Transportation, and Equipment Operators",not_hiring,https://nbrcip.ca/designated-employers/,api,2026-09-10T19:56:06.040Z,2026-09-10T19:56:06.040Z,active,FALSE,new,Source status: Not Hiring
north-bay|a-1-blasting-mats,north-bay,A-1 Blasting Mats,"North Bay & Area, ON","Trades, Transportation, and Equipment Operators",not_hiring,https://nbrcip.ca/designated-employers/,api,2026-09-10T19:56:06.040Z,2026-09-10T19:56:06.040Z,active,FALSE,new,Source status: Not Hiring
north-bay|aids-committee-of-north-bay-area,north-bay,AIDS Committee of North Bay & Area,"North Bay & Area, ON","Education, Law and Social, Community and Government Services",not_hiring,https://nbrcip.ca/designated-employers/,api,2026-09-10T19:56:06.040Z,2026-09-10T19:56:06.040Z,active,FALSE,new,Source status: Not Hiring
north-bay|alex-mckillop-tax-ltd,north-bay,Alex McKillop Tax Ltd,"North Bay & Area, ON","Business, Finance and Administration",not_hiring,https://nbrcip.ca/designated-employers/,api,2026-09-10T19:56:06.040Z,2026-09-10T19:56:06.040Z,active,FALSE,new,Source status: Not Hiring
north-bay|algonquin-nursing-home,north-bay,Algonquin Nursing Home,"North Bay & Area, ON","Education, Law and Social, Community and Government Services",not_hiring,https://nbrcip.ca/designated-employers/,api,2026-09-10T19:56:06.040Z,2026-09-10T19:56:06.040Z,active,FALSE,new,Source status: Not Hiring
north-bay|almaguin-highlands-community-living,north-bay,Almaguin Highlands Community Living,"North Bay & Area, ON","Education, Law and Social, Community and Government Services",not_hiring,https://nbrcip.ca/designated-employers/,api,2026-09-10T19:56:06.040Z,2026-09-10T19:56:06.040Z,active,FALSE,new,Source status: Not Hiring
north-bay|apex-contractor-and-developer,north-bay,Apex Contractor and Developer,"North Bay & Area, ON","Trades, Transportation, and Equipment Operators",not_hiring,https://nbrcip.ca/designated-employers/,api,2026-09-10T19:56:06.040Z,2026-09-10T19:56:06.040Z,active,FALSE,new,Source status: Not Hiring
north-bay|aziwell-canada-inc,north-bay,Aziwell Canada Inc,"North Bay & Area, ON",Natural and Applied Sciences and Related Occupations,not_hiring,https://nbrcip.ca/designated-employers/,api,2026-09-10T19:56:06.040Z,2026-09-10T19:56:06.040Z,active,FALSE,new,Source status: Not Hiring
north-bay|baker-tilly-snt-llp,north-bay,Baker Tilly SNT LLP,"North Bay & Area, ON","Business, Finance and Administration",not_hiring,https://nbrcip.ca/designated-employers/,api,2026-09-10T19:56:06.040Z,2026-09-10T19:56:06.040Z,active,FALSE,new,Source status: Not Hiring
north-bay|bakke-s-trucking-ltd,north-bay,Bakke's Trucking Ltd,"North Bay & Area, ON","Trades, Transportation, and Equipment Operators",not_hiring,https://nbrcip.ca/designated-employers/,api,2026-09-10T19:56:06.040Z,2026-09-10T19:56:06.040Z,active,FALSE,new,Source status: Not Hiring
north-bay|barclay-house-retirement-residence,north-bay,Barclay House Retirement Residence,"North Bay & Area, ON","Education, Law and Social, Community and Government Services",not_hiring,https://nbrcip.ca/designated-employers/,api,2026-09-10T19:56:06.040Z,2026-09-10T19:56:06.040Z,active,FALSE,new,Source status: Not Hiring
north-bay|bay-builders,north-bay,Bay Builders,"North Bay & Area, ON","Trades, Transportation, and Equipment Operators",not_hiring,https://nbrcip.ca/designated-employers/,api,2026-09-10T19:56:06.040Z,2026-09-10T19:56:06.040Z,active,FALSE,new,Source status: Not Hiring
