record_id,community_id,noc_code,noc_title,sector,year,is_secondary,restriction_notes,source_url,source_type,first_seen_at,last_seen_at,status,manual_override,review_status
north-bay|11100|2026,north-bay,11100,Financial Auditors and Accountants,"Business, finance and administration",2026,FALSE,Designated employers may submit up to 3 candidates per year (healthcare up to 5). | Fast food and retail (incl. convenience / gas station) occupations are excluded from this pilot.,https://nbrcip.ca/employers/,html,2026-09-10T19:56:06.027Z,2026-09-10T19:56:06.027Z,active,FALSE,new
north-bay|11102|2026,north-bay,11102,Financial Advisors,"Business, finance and administration",2026,FALSE,Designated employers may submit up to 3 candidates per year (healthcare up to 5). | Fast food and retail (incl. convenience / gas station) occupations are excluded from this pilot.,https://nbrcip.ca/employers/,html,2026-09-10T19:56:06.027Z,2026-09-10T19:56:06.027Z,active,FALSE,new
north-bay|12200|2026,north-bay,12200,Accounting Technicians and Bookkeepers,"Business, finance and administration",2026,FALSE,Designated employers may submit up to 3 candidates per year (healthcare up to 5). | Fast food and retail (incl. convenience / gas station) occupations are excluded from this pilot.,https://nbrcip.ca/employers/,html,2026-09-10T19:56:06.027Z,2026-09-10T19:56:06.027Z,active,FALSE,new
north-bay|14400|2026,north-bay,14400,Shippers & Receivers,"Business, finance and administration",2026,FALSE,Designated employers may submit up to 3 candidates per year (healthcare up to 5). | Fast food and retail (incl. convenience / gas station) occupations are excluded from this pilot.,https://nbrcip.ca/employers/,html,2026-09-10T19:56:06.027Z,2026-09-10T19:56:06.027Z,active,FALSE,new
north-bay|21232|2026,north-bay,21232,Software Developers and Programmers,Natural and applied sciences and related occupations,2026,FALSE,Designated employers may submit up to 3 candidates per year (healthcare up to 5). | Fast food and retail (incl. convenience / gas station) occupations are excluded from this pilot.,https://nbrcip.ca/employers/,html,2026-09-10T19:56:06.027Z,2026-09-10T19:56:06.027Z,active,FALSE,new
north-bay|21300|2026,north-bay,21300,Civil Engineers,Natural and applied sciences and related occupations,2026,FALSE,Designated employers may submit up to 3 candidates per year (healthcare up to 5). | Fast food and retail (incl. convenience / gas station) occupations are excluded from this pilot.,https://nbrcip.ca/employers/,html,2026-09-10T19:56:06.027Z,2026-09-10T19:56:06.027Z,active,FALSE,new
north-bay|21310|2026,north-bay,21310,Electrical and Electronics Engineers,Natural and applied sciences and related occupations,2026,FALSE,Designated employers may submit up to 3 candidates per year (healthcare up to 5). | Fast food and retail (incl. convenience / gas station) occupations are excluded from this pilot.,https://nbrcip.ca/employers/,html,2026-09-10T19:56:06.027Z,2026-09-10T19:56:06.027Z,active,FALSE,new
north-bay|22220|2026,north-bay,22220,Computer Network and Web Technicians,Natural and applied sciences and related occupations,2026,FALSE,Designated employers may submit up to 3 candidates per year (healthcare up to 5). | Fast food and retail (incl. convenience / gas station) occupations are excluded from this pilot.,https://nbrcip.ca/employers/,html,2026-09-10T19:56:06.027Z,2026-09-10T19:56:06.027Z,active,FALSE,new
north-bay|31301|2026,north-bay,31301,Registered Nurses and Registered Psychiatric Nurses,Health,2026,FALSE,Designated employers in healthcare may submit up to 5 candidates per year (others up to 3). | Fast food and retail (incl. convenience / gas station) occupations are excluded from this pilot.,https://nbrcip.ca/employers/,html,2026-09-10T19:56:06.027Z,2026-09-10T19:56:06.027Z,active,FALSE,new
north-bay|32101|2026,north-bay,32101,Licensed Practical Nurses,Health,2026,FALSE,Designated employers in healthcare may submit up to 5 candidates per year (others up to 3). | Fast food and retail (incl. convenience / gas station) occupations are excluded from this pilot.,https://nbrcip.ca/employers/,html,2026-09-10T19:56:06.027Z,2026-09-10T19:56:06.027Z,active,FALSE,new
north-bay|33100|2026,north-bay,33100,Dental Assistants and Dental Laboratory Assistants,Health,2026,FALSE,Designated employers in healthcare may submit up to 5 candidates per year (others up to 3). | Fast food and retail (incl. convenience / gas station) occupations are excluded from this pilot.,https://nbrcip.ca/employers/,html,2026-09-10T19:56:06.027Z,2026-09-10T19:56:06.027Z,active,FALSE,new
