record_id,community_id,employer_name,locations,sector,recruiting_status,source_url,source_type,first_seen_at,last_seen_at,status,manual_override,review_status,notes
pictou-county|10725978-canada-inc-protech,pictou-county,10725978 Canada Inc. (Protech),"Pictou County, NS",,not_hiring,https://pcrcip.ca/wp-content/uploads/PC_RCIP_Designated_Employers_July_2026.pdf,pdf,2026-09-10T21:07:35.917Z,2026-09-10T21:07:35.917Z,active,FALSE,new,Source status: not currently recruiting
pictou-county|304567-nova-scotia-limited-speedy-glass,pictou-county,304567 Nova Scotia Limited (Speedy Glass),"Pictou County, NS",,not_hiring,https://pcrcip.ca/wp-content/uploads/PC_RCIP_Designated_Employers_July_2026.pdf,pdf,2026-09-10T21:07:35.917Z,2026-09-10T21:07:35.917Z,active,FALSE,new,Source status: not currently recruiting
pictou-county|3091247-nova-scotia-limited-sam-s-pizza-trenton,pictou-county,"3091247 Nova Scotia Limited (Sam’s Pizza, Trenton)","Pictou County, NS",,not_hiring,https://pcrcip.ca/wp-content/uploads/PC_RCIP_Designated_Employers_July_2026.pdf,pdf,2026-09-10T21:07:35.917Z,2026-09-10T21:07:35.917Z,active,FALSE,new,Source status: not currently recruiting
pictou-county|3279889-nova-scotia-limited-nook-and-cranny-on-the-water,pictou-county,3279889 Nova Scotia Limited (Nook and Cranny on the Water),"Pictou County, NS",,not_hiring,https://pcrcip.ca/wp-content/uploads/PC_RCIP_Designated_Employers_July_2026.pdf,pdf,2026-09-10T21:07:35.917Z,2026-09-10T21:07:35.917Z,active,FALSE,new,Source status: not currently recruiting
pictou-county|3308612-nova-scotia-limited-v-e-s-chopsticks-restaurant,pictou-county,3308612 Nova Scotia Limited (V&E's Chopsticks Restaurant),"Pictou County, NS",,hiring,https://pcrcip.ca/wp-content/uploads/PC_RCIP_Designated_Employers_July_2026.pdf,pdf,2026-09-10T21:07:35.917Z,2026-09-10T21:07:35.917Z,active,FALSE,new,Source status: recruiting
pictou-county|3312444-nova-scotia-limited-needs-convenience,pictou-county,3312444 Nova Scotia Limited (Needs Convenience),"Pictou County, NS",,not_hiring,https://pcrcip.ca/wp-content/uploads/PC_RCIP_Designated_Employers_July_2026.pdf,pdf,2026-09-10T21:07:35.917Z,2026-09-10T21:07:35.917Z,active,FALSE,new,Source status: not currently recruiting
pictou-county|3327346-nova-scotia-limited-cornish-s-variety-and-takeout,pictou-county,3327346 Nova Scotia Limited (Cornish's Variety and Takeout),"Pictou County, NS",,not_hiring,https://pcrcip.ca/wp-content/uploads/PC_RCIP_Designated_Employers_July_2026.pdf,pdf,2026-09-10T21:07:35.917Z,2026-09-10T21:07:35.917Z,active,FALSE,new,Source status: not currently recruiting
pictou-county|3341342-ns-ltd-ultramar-gas-station,pictou-county,3341342 NS LTD. (Ultramar Gas Station),"Pictou County, NS",,not_hiring,https://pcrcip.ca/wp-content/uploads/PC_RCIP_Designated_Employers_July_2026.pdf,pdf,2026-09-10T21:07:35.917Z,2026-09-10T21:07:35.917Z,active,FALSE,new,Source status: not currently recruiting
pictou-county|4563603-nova-scotia-limited-s-greco-pizza,pictou-county,4563603 Nova Scotia Limited’s (Greco Pizza),"Pictou County, NS",,not_hiring,https://pcrcip.ca/wp-content/uploads/PC_RCIP_Designated_Employers_July_2026.pdf,pdf,2026-09-10T21:07:35.917Z,2026-09-10T21:07:35.917Z,active,FALSE,new,Source status: not currently recruiting
pictou-county|4583807-nova-scotia-limited,pictou-county,4583807 Nova Scotia Limited,"Pictou County, NS",,not_hiring,https://pcrcip.ca/wp-content/uploads/PC_RCIP_Designated_Employers_July_2026.pdf,pdf,2026-09-10T21:07:35.917Z,2026-09-10T21:07:35.917Z,active,FALSE,new,Source status: not currently recruiting
