record_id,community_id,employer_name,locations,sector,recruiting_status,source_url,source_type,first_seen_at,last_seen_at,status,manual_override,review_status,notes
sault-ste-marie|ableson-veterinary-services,sault-ste-marie,ABLESON VETERINARY SERVICES,"Sault Ste. Marie, ON",,unknown,https://welcometossm.com/designated-employers/,html,2026-09-10T21:07:36.822Z,2026-09-10T21:07:36.822Z,active,FALSE,new,
sault-ste-marie|adult-youth-enrichment-center,sault-ste-marie,ADULT & YOUTH ENRICHMENT CENTER,"Sault Ste. Marie, ON",,unknown,https://welcometossm.com/designated-employers/,html,2026-09-10T21:07:36.822Z,2026-09-10T21:07:36.822Z,active,FALSE,new,
sault-ste-marie|aes-solar,sault-ste-marie,AES SOLAR,"Sault Ste. Marie, ON",,unknown,https://welcometossm.com/designated-employers/,html,2026-09-10T21:07:36.822Z,2026-09-10T21:07:36.822Z,active,FALSE,new,
sault-ste-marie|aj-positano-paving,sault-ste-marie,AJ POSITANO PAVING,"Sault Ste. Marie, ON",,unknown,https://welcometossm.com/designated-employers/,html,2026-09-10T21:07:36.822Z,2026-09-10T21:07:36.822Z,active,FALSE,new,
sault-ste-marie|algoma-family-services,sault-ste-marie,ALGOMA FAMILY SERVICES,"Sault Ste. Marie, ON",,unknown,https://welcometossm.com/designated-employers/,html,2026-09-10T21:07:36.822Z,2026-09-10T21:07:36.822Z,active,FALSE,new,
sault-ste-marie|algoma-office-equipment,sault-ste-marie,ALGOMA OFFICE EQUIPMENT,"Sault Ste. Marie, ON",,unknown,https://welcometossm.com/designated-employers/,html,2026-09-10T21:07:36.822Z,2026-09-10T21:07:36.822Z,active,FALSE,new,
sault-ste-marie|algoma-technology-services,sault-ste-marie,ALGOMA TECHNOLOGY SERVICES,"Sault Ste. Marie, ON",,unknown,https://welcometossm.com/designated-employers/,html,2026-09-10T21:07:36.822Z,2026-09-10T21:07:36.822Z,active,FALSE,new,
sault-ste-marie|algoma-tree,sault-ste-marie,Algoma Tree,"Sault Ste. Marie, ON",,unknown,https://welcometossm.com/designated-employers/,html,2026-09-10T21:07:36.822Z,2026-09-10T21:07:36.822Z,active,FALSE,new,
sault-ste-marie|algoma-tubes-inc-tenaris-canada,sault-ste-marie,ALGOMA TUBES INC (TENARIS CANADA),"Sault Ste. Marie, ON",,unknown,https://welcometossm.com/designated-employers/,html,2026-09-10T21:07:36.822Z,2026-09-10T21:07:36.822Z,active,FALSE,new,
sault-ste-marie|alpine-north,sault-ste-marie,ALPINE NORTH,"Sault Ste. Marie, ON",,unknown,https://welcometossm.com/designated-employers/,html,2026-09-10T21:07:36.822Z,2026-09-10T21:07:36.822Z,active,FALSE,new,
