record_id,community_id,noc_code,noc_title,sector,year,is_secondary,restriction_notes,source_url,source_type,first_seen_at,last_seen_at,status,manual_override,review_status
sault-ste-marie|11100|2026,sault-ste-marie,11100,Financial Auditors and Accountants,"Business, finance and administration",2026,FALSE,,https://welcometossm.com/rcip_employer/,html,2026-09-10T21:07:36.498Z,2026-09-10T21:07:36.498Z,active,FALSE,new
sault-ste-marie|11102|2026,sault-ste-marie,11102,Financial Advisor,"Business, finance and administration",2026,FALSE,,https://welcometossm.com/rcip_employer/,html,2026-09-10T21:07:36.498Z,2026-09-10T21:07:36.498Z,active,FALSE,new
sault-ste-marie|13100|2026,sault-ste-marie,13100,Administrative Officers,"Business, finance and administration",2026,FALSE,,https://welcometossm.com/rcip_employer/,html,2026-09-10T21:07:36.498Z,2026-09-10T21:07:36.498Z,active,FALSE,new
sault-ste-marie|14200|2026,sault-ste-marie,14200,Accounting and Related Clerks,"Business, finance and administration",2026,FALSE,,https://welcometossm.com/rcip_employer/,html,2026-09-10T21:07:36.498Z,2026-09-10T21:07:36.498Z,active,FALSE,new
sault-ste-marie|20010|2026,sault-ste-marie,20010,Engineering Managers,Natural and applied sciences and related occupations,2026,FALSE,,https://welcometossm.com/rcip_employer/,html,2026-09-10T21:07:36.498Z,2026-09-10T21:07:36.498Z,active,FALSE,new
sault-ste-marie|21321|2026,sault-ste-marie,21321,Industrial and Manufacturing Engineers,Natural and applied sciences and related occupations,2026,FALSE,,https://welcometossm.com/rcip_employer/,html,2026-09-10T21:07:36.498Z,2026-09-10T21:07:36.498Z,active,FALSE,new
sault-ste-marie|22220|2026,sault-ste-marie,22220,Computer Network and Web Technicians,Natural and applied sciences and related occupations,2026,FALSE,,https://welcometossm.com/rcip_employer/,html,2026-09-10T21:07:36.498Z,2026-09-10T21:07:36.498Z,active,FALSE,new
sault-ste-marie|22301|2026,sault-ste-marie,22301,Mechanical engineering technologists and technicians,Natural and applied sciences and related occupations,2026,FALSE,,https://welcometossm.com/rcip_employer/,html,2026-09-10T21:07:36.498Z,2026-09-10T21:07:36.498Z,active,FALSE,new
sault-ste-marie|22310|2026,sault-ste-marie,22310,Electrical and Electronics Engineering Technologists and Technicians,Natural and applied sciences and related occupations,2026,FALSE,,https://welcometossm.com/rcip_employer/,html,2026-09-10T21:07:36.498Z,2026-09-10T21:07:36.498Z,active,FALSE,new
sault-ste-marie|31102|2026,sault-ste-marie,31102,General Practitioners and Family Physicians,Health,2026,FALSE,,https://welcometossm.com/rcip_employer/,html,2026-09-10T21:07:36.498Z,2026-09-10T21:07:36.498Z,active,FALSE,new
sault-ste-marie|31301|2026,sault-ste-marie,31301,Registered Nurses and Registered Psychiatric Nurses,Health,2026,FALSE,,https://welcometossm.com/rcip_employer/,html,2026-09-10T21:07:36.498Z,2026-09-10T21:07:36.498Z,active,FALSE,new
sault-ste-marie|32101|2026,sault-ste-marie,32101,Licensed Practical Nurses,Health,2026,FALSE,,https://welcometossm.com/rcip_employer/,html,2026-09-10T21:07:36.498Z,2026-09-10T21:07:36.498Z,active,FALSE,new
sault-ste-marie|33100|2026,sault-ste-marie,33100,Dental Assistant,Health,2026,FALSE,,https://welcometossm.com/rcip_employer/,html,2026-09-10T21:07:36.498Z,2026-09-10T21:07:36.498Z,active,FALSE,new
sault-ste-marie|33102|2026,sault-ste-marie,33102,Personal Support Worker,Health,2026,FALSE,,https://welcometossm.com/rcip_employer/,html,2026-09-10T21:07:36.498Z,2026-09-10T21:07:36.498Z,active,FALSE,new
sault-ste-marie|42201|2026,sault-ste-marie,42201,Social and Community Service Workers,"Education, law and social, community and government services",2026,FALSE,,https://welcometossm.com/rcip_employer/,html,2026-09-10T21:07:36.498Z,2026-09-10T21:07:36.498Z,active,FALSE,new
sault-ste-marie|42202|2026,sault-ste-marie,42202,Early Childhood Educators and Assistants,"Education, law and social, community and government services",2026,FALSE,,https://welcometossm.com/rcip_employer/,html,2026-09-10T21:07:36.498Z,2026-09-10T21:07:36.498Z,active,FALSE,new
