record_id,community_id,employer_name,locations,sector,recruiting_status,source_url,source_type,first_seen_at,last_seen_at,status,manual_override,review_status,notes
steinbach|1st-choice-convenience,steinbach,1st Choice Convenience,"Steinbach, MB",,unknown,https://steinbachedc.com/wp-content/uploads/2026/09/RCIP-Designated-Employers-1.pdf,pdf,2026-09-10T18:23:39.993Z,2026-09-10T18:23:39.993Z,active,FALSE,new,
steinbach|barnala-driver-training-academy,steinbach,Barnala Driver Training Academy,"Steinbach, MB",,unknown,https://steinbachedc.com/wp-content/uploads/2026/09/RCIP-Designated-Employers-1.pdf,pdf,2026-09-10T18:23:39.993Z,2026-09-10T18:23:39.993Z,active,FALSE,new,
steinbach|big-freight,steinbach,Big Freight,"Steinbach, MB",,unknown,https://steinbachedc.com/wp-content/uploads/2026/09/RCIP-Designated-Employers-1.pdf,pdf,2026-09-10T18:23:39.993Z,2026-09-10T18:23:39.993Z,active,FALSE,new,
steinbach|boston-pizza,steinbach,Boston Pizza,"Steinbach, MB",,unknown,https://steinbachedc.com/wp-content/uploads/2026/09/RCIP-Designated-Employers-1.pdf,pdf,2026-09-10T18:23:39.993Z,2026-09-10T18:23:39.993Z,active,FALSE,new,
steinbach|cdo-oriental-store-inc,steinbach,CDO Oriental Store Inc.,"Steinbach, MB",,unknown,https://steinbachedc.com/wp-content/uploads/2026/09/RCIP-Designated-Employers-1.pdf,pdf,2026-09-10T18:23:39.993Z,2026-09-10T18:23:39.993Z,active,FALSE,new,
steinbach|children-of-the-universe,steinbach,Children of the Universe,"Steinbach, MB",,unknown,https://steinbachedc.com/wp-content/uploads/2026/09/RCIP-Designated-Employers-1.pdf,pdf,2026-09-10T18:23:39.993Z,2026-09-10T18:23:39.993Z,active,FALSE,new,
steinbach|clearly-family-beverage-company-ulc,steinbach,Clearly Family Beverage Company ULC,"Steinbach, MB",,unknown,https://steinbachedc.com/wp-content/uploads/2026/09/RCIP-Designated-Employers-1.pdf,pdf,2026-09-10T18:23:39.993Z,2026-09-10T18:23:39.993Z,active,FALSE,new,
steinbach|co-care-health-group-inc,steinbach,Co-Care Health Group Inc.,"Steinbach, MB",,unknown,https://steinbachedc.com/wp-content/uploads/2026/09/RCIP-Designated-Employers-1.pdf,pdf,2026-09-10T18:23:39.993Z,2026-09-10T18:23:39.993Z,active,FALSE,new,
steinbach|c-p-loewen-enterprises-ltd-loewen-windows-doors,steinbach,C.P. Loewen Enterprises Ltd (Loewen Windows & Doors),"Steinbach, MB",,unknown,https://steinbachedc.com/wp-content/uploads/2026/09/RCIP-Designated-Employers-1.pdf,pdf,2026-09-10T18:23:39.993Z,2026-09-10T18:23:39.993Z,active,FALSE,new,
steinbach|esso-gas-station,steinbach,Esso Gas Station,"Steinbach, MB",,unknown,https://steinbachedc.com/wp-content/uploads/2026/09/RCIP-Designated-Employers-1.pdf,pdf,2026-09-10T18:23:39.993Z,2026-09-10T18:23:39.993Z,active,FALSE,new,
steinbach|frantz-inn,steinbach,Frantz Inn,"Steinbach, MB",,unknown,https://steinbachedc.com/wp-content/uploads/2026/09/RCIP-Designated-Employers-1.pdf,pdf,2026-09-10T18:23:39.993Z,2026-09-10T18:23:39.993Z,active,FALSE,new,
steinbach|garderie-les-petits-amis-day-care-inc,steinbach,Garderie Les Petits Amis Day Care Inc.,"Steinbach, MB",,unknown,https://steinbachedc.com/wp-content/uploads/2026/09/RCIP-Designated-Employers-1.pdf,pdf,2026-09-10T18:23:39.993Z,2026-09-10T18:23:39.993Z,active,FALSE,new,
steinbach|hanover-grinding,steinbach,Hanover Grinding,"Steinbach, MB",,unknown,https://steinbachedc.com/wp-content/uploads/2026/09/RCIP-Designated-Employers-1.pdf,pdf,2026-09-10T18:23:39.993Z,2026-09-10T18:23:39.993Z,active,FALSE,new,
steinbach|happy-feet-early-learning-centre-inc,steinbach,Happy Feet Early Learning Centre Inc.,"Steinbach, MB",,unknown,https://steinbachedc.com/wp-content/uploads/2026/09/RCIP-Designated-Employers-1.pdf,pdf,2026-09-10T18:23:39.993Z,2026-09-10T18:23:39.993Z,active,FALSE,new,
steinbach|hylife-ltd,steinbach,HyLife Ltd.,"Steinbach, MB",,unknown,https://steinbachedc.com/wp-content/uploads/2026/09/RCIP-Designated-Employers-1.pdf,pdf,2026-09-10T18:23:39.993Z,2026-09-10T18:23:39.993Z,active,FALSE,new,
steinbach|imperial-metal-industries,steinbach,Imperial Metal Industries,"Steinbach, MB",,unknown,https://steinbachedc.com/wp-content/uploads/2026/09/RCIP-Designated-Employers-1.pdf,pdf,2026-09-10T18:23:39.993Z,2026-09-10T18:23:39.993Z,active,FALSE,new,
steinbach|kinder-korner-early-learning-centre-inc,steinbach,Kinder Korner Early Learning Centre Inc.,"Steinbach, MB",,unknown,https://steinbachedc.com/wp-content/uploads/2026/09/RCIP-Designated-Employers-1.pdf,pdf,2026-09-10T18:23:39.993Z,2026-09-10T18:23:39.993Z,active,FALSE,new,
