record_id,community_id,noc_code,noc_title,sector,year,is_secondary,restriction_notes,source_url,source_type,first_seen_at,last_seen_at,status,manual_override,review_status
steinbach|11202|2026,steinbach,11202,"Professional occupations in advertising, marketing and public relations","Business, finance and administration",2026,FALSE,"Max 1 recommendation per NOC per month, max 2 recommendations per calendar year per NOC (unless noted).",https://steinbachedc.com/rcip/,html,2026-09-10T18:23:39.104Z,2026-09-10T18:23:39.104Z,active,FALSE,new
steinbach|12201|2026,steinbach,12201,Insurance Adjustors and Claims Examiners,"Business, finance and administration",2026,FALSE,"Max 1 recommendation per NOC per month, max 2 recommendations per calendar year per NOC (unless noted).",https://steinbachedc.com/rcip/,html,2026-09-10T18:23:39.104Z,2026-09-10T18:23:39.104Z,active,FALSE,new
steinbach|14200|2026,steinbach,14200,Accounting & Related Clerks,"Business, finance and administration",2026,FALSE,Not available,https://steinbachedc.com/rcip/,html,2026-09-10T18:23:39.104Z,2026-09-10T18:23:39.104Z,active,FALSE,new
steinbach|21120|2026,steinbach,21120,Public and Environmental Health and Safety Professionals,Natural and applied sciences,2026,FALSE,"Max 1 recommendation per NOC per month, max 2 recommendations per calendar year per NOC (unless noted).",https://steinbachedc.com/rcip/,html,2026-09-10T18:23:39.104Z,2026-09-10T18:23:39.104Z,active,FALSE,new
steinbach|21231|2026,steinbach,21231,Software & IT Project Managers,Natural and applied sciences,2026,FALSE,"Max 1 recommendation per NOC per month, max 2 recommendations per calendar year per NOC (unless noted).",https://steinbachedc.com/rcip/,html,2026-09-10T18:23:39.104Z,2026-09-10T18:23:39.104Z,active,FALSE,new
steinbach|21300|2026,steinbach,21300,Civil Engineers,Natural and applied sciences,2026,FALSE,"Max 1 recommendation per NOC per month, max 2 recommendations per calendar year per NOC (unless noted).",https://steinbachedc.com/rcip/,html,2026-09-10T18:23:39.104Z,2026-09-10T18:23:39.104Z,active,FALSE,new
steinbach|22212|2026,steinbach,22212,Drafting Technologists & technicians,Natural and applied sciences,2026,FALSE,"Max 1 recommendation per NOC per month, max 2 recommendations per calendar year per NOC (unless noted).",https://steinbachedc.com/rcip/,html,2026-09-10T18:23:39.104Z,2026-09-10T18:23:39.104Z,active,FALSE,new
steinbach|22303|2026,steinbach,22303,Construction Estimator,Natural and applied sciences,2026,FALSE,"Max 1 recommendation per NOC per month, max 2 recommendations per calendar year per NOC (unless noted).",https://steinbachedc.com/rcip/,html,2026-09-10T18:23:39.104Z,2026-09-10T18:23:39.104Z,active,FALSE,new
steinbach|31103|2026,steinbach,31103,Veterinarians,Health,2026,FALSE,"Max 1 recommendation per NOC per month, max 2 recommendations per calendar year per NOC (unless noted).",https://steinbachedc.com/rcip/,html,2026-09-10T18:23:39.104Z,2026-09-10T18:23:39.104Z,active,FALSE,new
steinbach|31120|2026,steinbach,31120,Pharmacist,Health,2026,FALSE,No recommendation limitations apply,https://steinbachedc.com/rcip/,html,2026-09-10T18:23:39.104Z,2026-09-10T18:23:39.104Z,active,FALSE,new
steinbach|31301|2026,steinbach,31301,Registered Nurses and Registered Psychiatric Nurses,Health,2026,FALSE,No recommendation limitations apply,https://steinbachedc.com/rcip/,html,2026-09-10T18:23:39.104Z,2026-09-10T18:23:39.104Z,active,FALSE,new
steinbach|33100|2026,steinbach,33100,Dental Assistants and Dental Laboratory Assistants,Health,2026,FALSE,No recommendation limitations apply,https://steinbachedc.com/rcip/,html,2026-09-10T18:23:39.104Z,2026-09-10T18:23:39.104Z,active,FALSE,new
steinbach|33102|2026,steinbach,33102,Health Care Aid,Health,2026,FALSE,No recommendation limitations apply,https://steinbachedc.com/rcip/,html,2026-09-10T18:23:39.104Z,2026-09-10T18:23:39.104Z,active,FALSE,new
steinbach|33103|2026,steinbach,33103,Pharmacy Assistant,Health,2026,FALSE,"Max 1 recommendation per NOC per month, max 2 recommendations per calendar year per NOC (unless noted).",https://steinbachedc.com/rcip/,html,2026-09-10T18:23:39.104Z,2026-09-10T18:23:39.104Z,active,FALSE,new
steinbach|42202|2026,steinbach,42202,Early Childhood Educator & Assistant,"Education, law and social, community and government services",2026,FALSE,5 recommendations per calendar year – only 2 spots available,https://steinbachedc.com/rcip/,html,2026-09-10T18:23:39.104Z,2026-09-10T18:23:39.104Z,active,FALSE,new
steinbach|44101|2026,steinbach,44101,"Home Support Workers, Care Givers, and Related Occupations","Education, law and social, community and government services",2026,FALSE,No recommendation limitations apply,https://steinbachedc.com/rcip/,html,2026-09-10T18:23:39.104Z,2026-09-10T18:23:39.104Z,active,FALSE,new
