record_id,community_id,employer_name,locations,sector,recruiting_status,source_url,source_type,first_seen_at,last_seen_at,status,manual_override,review_status,notes
sudbury|669-heat-northern-air-mechanical-systems-inc-1360kellylakerdunit3grea,sudbury,669–Heat – Northern Air & Mechanical Systems Inc.,"1360 Kelly Lake Rd unit 3, Greater Sudbury, ON P3E 5P4",Trades and Transport,unknown,https://investsudbury.ca/why-sudbury/newcomers/rcipfcip/,html,2026-09-10T21:07:36.068Z,2026-09-10T21:07:36.068Z,active,FALSE,new,
sudbury|7055579-canada-inc-2266lasalleblvdgreatersu,sudbury,7055579 Canada Inc.,"2266 Lasalle Blvd, Greater Sudbury, ON P3A 2B1","Business, Finance, and Administration",unknown,https://investsudbury.ca/why-sudbury/newcomers/rcipfcip/,html,2026-09-10T21:07:36.068Z,2026-09-10T21:07:36.068Z,active,FALSE,new,
sudbury|a-m-remediation-ltd-4017regionalroad15chelms,sudbury,A&M Remediation Ltd,"4017 Regional Road 15, Chelmsford ON, P0M 1L0",Natural Resources and Agriculture,unknown,https://investsudbury.ca/why-sudbury/newcomers/rcipfcip/,html,2026-09-10T21:07:36.068Z,2026-09-10T21:07:36.068Z,active,FALSE,new,
sudbury|access-industrial-grand-sudbury-access-industrial-mining-inc-1106webbwooddrivesudbury,sudbury,Access Industrial Grand Sudbury – Access Industrial Mining Inc,"1106 Webbwood Drive, Sudbury, Onario P3C 3B7",Trades and Transport,unknown,https://investsudbury.ca/why-sudbury/newcomers/rcipfcip/,html,2026-09-10T21:07:36.068Z,2026-09-10T21:07:36.068Z,active,FALSE,new,
sudbury|acv-cardiology-41a885regentstreetsuddbu,sudbury,ACV Cardiology,"41A-885 Regent Street, Suddbury, Ontario P3E5M4",Health,unknown,https://investsudbury.ca/why-sudbury/newcomers/rcipfcip/,html,2026-09-10T21:07:36.068Z,2026-09-10T21:07:36.068Z,active,FALSE,new,
sudbury|adult-youth-enrichment-center-2762354ontarioinc1050lon,sudbury,Adult & Youth Enrichment Center –,"2762354 Ontario Inc1050 Lonsdale Avenue, Sudbury, ON, P3B 3B5","Education, Social, Community, and Government Services",unknown,https://investsudbury.ca/why-sudbury/newcomers/rcipfcip/,html,2026-09-10T21:07:36.068Z,2026-09-10T21:07:36.068Z,active,FALSE,new,
sudbury|alban-on-greatersudburyon,sudbury,"Alban ON,","Greater Sudbury, ON",Natural Resources and Agriculture,unknown,https://investsudbury.ca/why-sudbury/newcomers/rcipfcip/,html,2026-09-10T21:07:36.068Z,2026-09-10T21:07:36.068Z,active,FALSE,new,
sudbury|alif-ontario-inc-mr-lube-regent-street-1813regentstreetsouthsud,sudbury,Alif Ontario Inc – Mr. Lube (Regent Street),"1813 Regent Street, South, Sudbury, Ontario P3E 3Z7",Trades and Transport,unknown,https://investsudbury.ca/why-sudbury/newcomers/rcipfcip/,html,2026-09-10T21:07:36.068Z,2026-09-10T21:07:36.068Z,active,FALSE,new,
sudbury|als-canada-ltd-1351kellyroadunit1bsudbu,sudbury,ALS Canada Ltd,"1351 Kelly Road, Unit 1B, Sudbury, ON P3E 5P5",Natural and Applied Sciences,unknown,https://investsudbury.ca/why-sudbury/newcomers/rcipfcip/,html,2026-09-10T21:07:36.068Z,2026-09-10T21:07:36.068Z,active,FALSE,new,
sudbury|anmar-mechanical-electrical-contractors-limited-199mumfordroadlivelyonp3,sudbury,Anmar Mechanical & Electrical Contractors Limited,"199 Mumford Road, Lively, ON P3Y 1L2",Trades and Transport,unknown,https://investsudbury.ca/why-sudbury/newcomers/rcipfcip/,html,2026-09-10T21:07:36.068Z,2026-09-10T21:07:36.068Z,active,FALSE,new,
