record_id,community_id,employer_name,locations,sector,recruiting_status,source_url,source_type,first_seen_at,last_seen_at,status,manual_override,review_status,notes
thunder-bay|1852075-ontario-inc-nook-1271baystthunderbay,thunder-bay,(1852075 Ontario Inc.)- Nook,1-271 Bay St. Thunder Bay,,unknown,https://gotothunderbay.ca/wp-content/uploads/2026/08/As-of-August-13-2026.pdf,pdf,2026-09-10T20:55:54.670Z,2026-09-10T20:55:54.670Z,active,FALSE,new,Source list updated: June 29 2026 | Source PDF marks some employers in red as not hiring (colour not available in text extract).
thunder-bay|1000024408-ontario-ltd-the-tilted-turrent-135archibaldstnthunderba,thunder-bay,1000024408 Ontario LTD - The Tilted Turrent,"135 Archibald St N, Thunder Bay",,unknown,https://gotothunderbay.ca/wp-content/uploads/2026/08/As-of-August-13-2026.pdf,pdf,2026-09-10T20:55:54.670Z,2026-09-10T20:55:54.670Z,active,FALSE,new,Source list updated: June 29 2026 | Source PDF marks some employers in red as not hiring (colour not available in text extract).
thunder-bay|1000455057-ontario-inc-noodle-bowl-2624victoriaaveethunderb,thunder-bay,1000455057 Ontario Inc. - Noodle Bowl,"2624 Victoria Ave E, Thunder Bay",,unknown,https://gotothunderbay.ca/wp-content/uploads/2026/08/As-of-August-13-2026.pdf,pdf,2026-09-10T20:55:54.670Z,2026-09-10T20:55:54.670Z,active,FALSE,new,Source list updated: June 29 2026 | Source PDF marks some employers in red as not hiring (colour not available in text extract).
thunder-bay|1001146802-ontario-inc-true-north-general-contracting-103jamesststhunderbay,thunder-bay,1001146802 ONTARIO INC.- True North General Contracting,103 James St. S. Thunder Bay,,unknown,https://gotothunderbay.ca/wp-content/uploads/2026/08/As-of-August-13-2026.pdf,pdf,2026-09-10T20:55:54.670Z,2026-09-10T20:55:54.670Z,active,FALSE,new,Source list updated: June 29 2026 | Source PDF marks some employers in red as not hiring (colour not available in text extract).
thunder-bay|1164309-ontario-ltd-furniture-recycle-133hardistystnthunderbay,thunder-bay,1164309 Ontario LTD- Furniture Recycle,"133 Hardisty St N, Thunder Bay",,unknown,https://gotothunderbay.ca/wp-content/uploads/2026/08/As-of-August-13-2026.pdf,pdf,2026-09-10T20:55:54.670Z,2026-09-10T20:55:54.670Z,active,FALSE,new,Source list updated: June 29 2026 | Source PDF marks some employers in red as not hiring (colour not available in text extract).
thunder-bay|1164354-ontario-inc-end-of-the-roll-600squierstthunderbay,thunder-bay,1164354 Ontario Inc- End of the Roll,"600 Squier St, Thunder Bay",,unknown,https://gotothunderbay.ca/wp-content/uploads/2026/08/As-of-August-13-2026.pdf,pdf,2026-09-10T20:55:54.670Z,2026-09-10T20:55:54.670Z,active,FALSE,new,Source list updated: June 29 2026 | Source PDF marks some employers in red as not hiring (colour not available in text extract).
thunder-bay|1191070-ontario-ltd-rfl-holdings-102centennialsqthunderba,thunder-bay,1191070 Ontario Ltd- RFL Holdings,102 Centennial Sq Thunder Bay,,unknown,https://gotothunderbay.ca/wp-content/uploads/2026/08/As-of-August-13-2026.pdf,pdf,2026-09-10T20:55:54.670Z,2026-09-10T20:55:54.670Z,active,FALSE,new,Source list updated: June 29 2026 | Source PDF marks some employers in red as not hiring (colour not available in text extract).
thunder-bay|123dentist-inc-current-river-family-dental-901redriverroadunit3thun,thunder-bay,123Dentist Inc.- Current River Family Dental,"901 Red River Road, Unit 3, Thunder Bay",,unknown,https://gotothunderbay.ca/wp-content/uploads/2026/08/As-of-August-13-2026.pdf,pdf,2026-09-10T20:55:54.670Z,2026-09-10T20:55:54.670Z,active,FALSE,new,Source list updated: June 29 2026 | Source PDF marks some employers in red as not hiring (colour not available in text extract).
thunder-bay|123dentist-northwood-family-dental-2606victoriaaveethunderb,thunder-bay,123Dentist- Northwood Family Dental,"2606 Victoria Ave E, Thunder Bay",,unknown,https://gotothunderbay.ca/wp-content/uploads/2026/08/As-of-August-13-2026.pdf,pdf,2026-09-10T20:55:54.670Z,2026-09-10T20:55:54.670Z,active,FALSE,new,Source list updated: June 29 2026 | Source PDF marks some employers in red as not hiring (colour not available in text extract).
thunder-bay|123dentist-oasis-family-dental-501edwardstreetnthunderb,thunder-bay,123dentist.- Oasis Family Dental,"501 EDWARD STREET N, Thunder Bay",,unknown,https://gotothunderbay.ca/wp-content/uploads/2026/08/As-of-August-13-2026.pdf,pdf,2026-09-10T20:55:54.670Z,2026-09-10T20:55:54.670Z,active,FALSE,new,Source list updated: June 29 2026 | Source PDF marks some employers in red as not hiring (colour not available in text extract).
