record_id,community_id,noc_code,noc_title,sector,year,is_secondary,restriction_notes,source_url,source_type,first_seen_at,last_seen_at,status,manual_override,review_status
thunder-bay|11202|2026,thunder-bay,11202,"Professional Occupations in Advertising, Marketing and Public Relations","Business, finance and administration",2026,FALSE,,https://gotothunderbay.ca/rural-community-immigration-pilot-rcip/,html,2026-09-10T20:55:54.230Z,2026-09-10T20:55:54.230Z,active,FALSE,new
thunder-bay|13102|2026,thunder-bay,13102,Payroll Administrator,"Business, finance and administration",2026,FALSE,limit of 1 for employers with a minimum of 50 full-time employees,https://gotothunderbay.ca/rural-community-immigration-pilot-rcip/,html,2026-09-10T20:55:54.230Z,2026-09-10T20:55:54.230Z,active,FALSE,new
thunder-bay|13110|2026,thunder-bay,13110,Administrative Assistants,"Business, finance and administration",2026,FALSE,"Limit of 1 for employers with 1-50 full-time employees, limit of 2 for employers with 51-100 full-time employees.",https://gotothunderbay.ca/rural-community-immigration-pilot-rcip/,html,2026-09-10T20:55:54.230Z,2026-09-10T20:55:54.230Z,active,FALSE,new
thunder-bay|14100|2026,thunder-bay,14100,General Office Support Workers,"Business, finance and administration",2026,FALSE,"Limit of 1 for employers with 1-50 full-time employees, limit of 2 for employers with 51-100 full-time employees.",https://gotothunderbay.ca/rural-community-immigration-pilot-rcip/,html,2026-09-10T20:55:54.230Z,2026-09-10T20:55:54.230Z,active,FALSE,new
thunder-bay|14400|2026,thunder-bay,14400,Shippers and Receivers,"Business, finance and administration",2026,FALSE,,https://gotothunderbay.ca/rural-community-immigration-pilot-rcip/,html,2026-09-10T20:55:54.230Z,2026-09-10T20:55:54.230Z,active,FALSE,new
thunder-bay|31301|2026,thunder-bay,31301,Registered Nurses,Health,2026,FALSE,,https://gotothunderbay.ca/rural-community-immigration-pilot-rcip/,html,2026-09-10T20:55:54.230Z,2026-09-10T20:55:54.230Z,active,FALSE,new
thunder-bay|32101|2026,thunder-bay,32101,Licensed Practical Nurses,Health,2026,FALSE,,https://gotothunderbay.ca/rural-community-immigration-pilot-rcip/,html,2026-09-10T20:55:54.230Z,2026-09-10T20:55:54.230Z,active,FALSE,new
thunder-bay|33100|2026,thunder-bay,33100,Dental Assistants and Dental Technicians,Health,2026,FALSE,,https://gotothunderbay.ca/rural-community-immigration-pilot-rcip/,html,2026-09-10T20:55:54.230Z,2026-09-10T20:55:54.230Z,active,FALSE,new
thunder-bay|33102|2026,thunder-bay,33102,"Nurse Aides, Orderlies and Patient Service Associates",Health,2026,FALSE,,https://gotothunderbay.ca/rural-community-immigration-pilot-rcip/,html,2026-09-10T20:55:54.230Z,2026-09-10T20:55:54.230Z,active,FALSE,new
thunder-bay|33103|2026,thunder-bay,33103,Pharmacy Technical Assistants and Pharmacy Assistants,Health,2026,FALSE,,https://gotothunderbay.ca/rural-community-immigration-pilot-rcip/,html,2026-09-10T20:55:54.230Z,2026-09-10T20:55:54.230Z,active,FALSE,new
thunder-bay|42201|2026,thunder-bay,42201,Social and Community Service Workers,"Education, law and social, community and government services",2026,FALSE,,https://gotothunderbay.ca/rural-community-immigration-pilot-rcip/,html,2026-09-10T20:55:54.230Z,2026-09-10T20:55:54.230Z,active,FALSE,new
thunder-bay|42202|2026,thunder-bay,42202,Early Childhood Educators and Assistants,"Education, law and social, community and government services",2026,FALSE,,https://gotothunderbay.ca/rural-community-immigration-pilot-rcip/,html,2026-09-10T20:55:54.230Z,2026-09-10T20:55:54.230Z,active,FALSE,new
thunder-bay|44101|2026,thunder-bay,44101,"Home Support Workers, Caregivers and Related Occupations","Education, law and social, community and government services",2026,FALSE,,https://gotothunderbay.ca/rural-community-immigration-pilot-rcip/,html,2026-09-10T20:55:54.230Z,2026-09-10T20:55:54.230Z,active,FALSE,new
thunder-bay|62029|2026,thunder-bay,62029,Security Supervisors,Sales and service,2026,FALSE,"Limit of 1 for employers with 1-50 full-time employees, limit of 2 for employers with 51-100 full-time employees. Candidates must have at least two years of full-time security related work experience or two years of post secondary education in law and security, police technology, or a related field.",https://gotothunderbay.ca/rural-community-immigration-pilot-rcip/,html,2026-09-10T20:55:54.230Z,2026-09-10T20:55:54.230Z,active,FALSE,new
thunder-bay|63200|2026,thunder-bay,63200,Cooks,Sales and service,2026,FALSE,Limit of 1 per employer (dine-in / full-service restaurants and hotels only for sector 6 sales & service),https://gotothunderbay.ca/rural-community-immigration-pilot-rcip/,html,2026-09-10T20:55:54.230Z,2026-09-10T20:55:54.230Z,active,FALSE,new
thunder-bay|63202|2026,thunder-bay,63202,Bakers,Sales and service,2026,FALSE,Limit of 1 per employer,https://gotothunderbay.ca/rural-community-immigration-pilot-rcip/,html,2026-09-10T20:55:54.230Z,2026-09-10T20:55:54.230Z,active,FALSE,new
thunder-bay|64100|2026,thunder-bay,64100,Retail Salespersons and Visual Merchandisers,Sales and service,2026,FALSE,"Limit of 1 for employers with 1-50 full-time employees, limit of 2 for employers with 51-100 full-time employees. Maximum number of recommendations will be 24 Maximum number of recommendations will be 24 which was met in June 2026. No further applications will be accepted.",https://gotothunderbay.ca/rural-community-immigration-pilot-rcip/,html,2026-09-10T20:55:54.230Z,2026-09-10T20:55:54.230Z,active,FALSE,new
thunder-bay|64314|2026,thunder-bay,64314,Hotel Front Desk,Sales and service,2026,FALSE,Limit of 2 per hotel,https://gotothunderbay.ca/rural-community-immigration-pilot-rcip/,html,2026-09-10T20:55:54.230Z,2026-09-10T20:55:54.230Z,active,FALSE,new
thunder-bay|64410|2026,thunder-bay,64410,Security Guards,Sales and service,2026,FALSE,"Limit of 1 for employers with 1-50 full-time employees, limit of 2 for employers with 51-100 full-time employees. Candidates must have at least two years of full-time security related work experience or two years of post secondary education in law and security, police technology, or a related field. Maximum number of recommendations will be 24",https://gotothunderbay.ca/rural-community-immigration-pilot-rcip/,html,2026-09-10T20:55:54.230Z,2026-09-10T20:55:54.230Z,active,FALSE,new
thunder-bay|72400|2026,thunder-bay,72400,Construction Millwrights and Industrial Mechanics,Trades and transport,2026,FALSE,,https://gotothunderbay.ca/rural-community-immigration-pilot-rcip/,html,2026-09-10T20:55:54.230Z,2026-09-10T20:55:54.230Z,active,FALSE,new
thunder-bay|72410|2026,thunder-bay,72410,"Automotive Service Technicians, Truck and Bus Mechanics, and Mechanical Repairers",Trades and transport,2026,FALSE,,https://gotothunderbay.ca/rural-community-immigration-pilot-rcip/,html,2026-09-10T20:55:54.230Z,2026-09-10T20:55:54.230Z,active,FALSE,new
thunder-bay|73201|2026,thunder-bay,73201,General Building Maintenance Workers and Building Superintendents,Trades and transport,2026,FALSE,,https://gotothunderbay.ca/rural-community-immigration-pilot-rcip/,html,2026-09-10T20:55:54.230Z,2026-09-10T20:55:54.230Z,active,FALSE,new
thunder-bay|73300|2026,thunder-bay,73300,Transport Truck Drivers,Trades and transport,2026,FALSE,Short Haul Local Drivers Only – The last 6 months of electronic logbooks as required under CVOR.,https://gotothunderbay.ca/rural-community-immigration-pilot-rcip/,html,2026-09-10T20:55:54.230Z,2026-09-10T20:55:54.230Z,active,FALSE,new
thunder-bay|75110|2026,thunder-bay,75110,Construction Trades Helpers and Labourers,Trades and transport,2026,FALSE,,https://gotothunderbay.ca/rural-community-immigration-pilot-rcip/,html,2026-09-10T20:55:54.230Z,2026-09-10T20:55:54.230Z,active,FALSE,new
thunder-bay|94120|2026,thunder-bay,94120,Sawmill Machine Operators,Manufacturing and utilities,2026,FALSE,,https://gotothunderbay.ca/rural-community-immigration-pilot-rcip/,html,2026-09-10T20:55:54.230Z,2026-09-10T20:55:54.230Z,active,FALSE,new
