record_id,community_id,employer_name,locations,sector,recruiting_status,source_url,source_type,first_seen_at,last_seen_at,status,manual_override,review_status,notes
timmins|anson-general-hospital,timmins,Anson General Hospital,"Timmins region, ON",Health,unknown,https://timminsedc.com/wp-content/uploads/2026/07/Designated-Employer-List-Timmins-Regional-RCIP-FCIP.pdf,pdf,2026-09-10T19:44:08.757Z,2026-09-10T19:44:08.757Z,active,FALSE,new,Pilot: RCIP
timmins|bingham-memorial-hospital,timmins,Bingham Memorial Hospital,"Timmins region, ON",Health,unknown,https://timminsedc.com/wp-content/uploads/2026/07/Designated-Employer-List-Timmins-Regional-RCIP-FCIP.pdf,pdf,2026-09-10T19:44:08.757Z,2026-09-10T19:44:08.757Z,active,FALSE,new,Pilot: RCIP
timmins|blanche-river-health,timmins,Blanche River Health,"Timmins region, ON",Health,unknown,https://timminsedc.com/wp-content/uploads/2026/07/Designated-Employer-List-Timmins-Regional-RCIP-FCIP.pdf,pdf,2026-09-10T19:44:08.757Z,2026-09-10T19:44:08.757Z,active,FALSE,new,Pilot: RCIP
timmins|corporation-of-the-town-of-kirkland-lake-teck-pioneer-residence-extendicare-hail,timmins,Corporation of the Town of Kirkland Lake – Teck Pioneer Residence Extendicare (Haileybury),"Timmins region, ON",Health,unknown,https://timminsedc.com/wp-content/uploads/2026/07/Designated-Employer-List-Timmins-Regional-RCIP-FCIP.pdf,pdf,2026-09-10T19:44:08.757Z,2026-09-10T19:44:08.757Z,active,FALSE,new,Pilot: RCIP
timmins|extendicare-kapuskasing,timmins,Extendicare (Kapuskasing),"Timmins region, ON",Health,unknown,https://timminsedc.com/wp-content/uploads/2026/07/Designated-Employer-List-Timmins-Regional-RCIP-FCIP.pdf,pdf,2026-09-10T19:44:08.757Z,2026-09-10T19:44:08.757Z,active,FALSE,new,Pilot: RCIP
timmins|extendicare-kirkland-lake,timmins,Extendicare (Kirkland Lake),"Timmins region, ON",Health,unknown,https://timminsedc.com/wp-content/uploads/2026/07/Designated-Employer-List-Timmins-Regional-RCIP-FCIP.pdf,pdf,2026-09-10T19:44:08.757Z,2026-09-10T19:44:08.757Z,active,FALSE,new,Pilot: RCIP
timmins|extendicare-timmins,timmins,Extendicare (Timmins),"Timmins region, ON",Health,unknown,https://timminsedc.com/wp-content/uploads/2026/07/Designated-Employer-List-Timmins-Regional-RCIP-FCIP.pdf,pdf,2026-09-10T19:44:08.757Z,2026-09-10T19:44:08.757Z,active,FALSE,new,Pilot: RCIP
timmins|foyer-des-pionniers,timmins,Foyer des Pionniers,"Timmins region, ON",Health,not_hiring,https://timminsedc.com/wp-content/uploads/2026/07/Designated-Employer-List-Timmins-Regional-RCIP-FCIP.pdf,pdf,2026-09-10T19:44:08.757Z,2026-09-10T19:44:08.757Z,active,FALSE,new,Pilot: RCIP/FCIP | Listed as [not hiring] on source PDF
timmins|north-centennial-manor,timmins,North Centennial Manor,"Timmins region, ON",Health,not_hiring,https://timminsedc.com/wp-content/uploads/2026/07/Designated-Employer-List-Timmins-Regional-RCIP-FCIP.pdf,pdf,2026-09-10T19:44:08.757Z,2026-09-10T19:44:08.757Z,active,FALSE,new,Pilot: RCIP/FCIP | Listed as [not hiring] on source PDF
timmins|northdale-manor,timmins,Northdale Manor,"Timmins region, ON",Health,unknown,https://timminsedc.com/wp-content/uploads/2026/07/Designated-Employer-List-Timmins-Regional-RCIP-FCIP.pdf,pdf,2026-09-10T19:44:08.757Z,2026-09-10T19:44:08.757Z,active,FALSE,new,Pilot: RCIP/FCIP
timmins|notre-dame-hospital,timmins,Notre-Dame Hospital,"Timmins region, ON",Health,unknown,https://timminsedc.com/wp-content/uploads/2026/07/Designated-Employer-List-Timmins-Regional-RCIP-FCIP.pdf,pdf,2026-09-10T19:44:08.757Z,2026-09-10T19:44:08.757Z,active,FALSE,new,Pilot: RCIP
timmins|northview-nursing-home,timmins,Northview Nursing Home,"Timmins region, ON",Health,unknown,https://timminsedc.com/wp-content/uploads/2026/07/Designated-Employer-List-Timmins-Regional-RCIP-FCIP.pdf,pdf,2026-09-10T19:44:08.757Z,2026-09-10T19:44:08.757Z,active,FALSE,new,Pilot: RCIP
timmins|seizure-brain-injury-centre,timmins,Seizure & Brain Injury Centre,"Timmins region, ON",Health,unknown,https://timminsedc.com/wp-content/uploads/2026/07/Designated-Employer-List-Timmins-Regional-RCIP-FCIP.pdf,pdf,2026-09-10T19:44:08.757Z,2026-09-10T19:44:08.757Z,active,FALSE,new,Pilot: RCIP
timmins|sensenbrenner-hospital,timmins,Sensenbrenner Hospital,"Timmins region, ON",Health,not_hiring,https://timminsedc.com/wp-content/uploads/2026/07/Designated-Employer-List-Timmins-Regional-RCIP-FCIP.pdf,pdf,2026-09-10T19:44:08.757Z,2026-09-10T19:44:08.757Z,active,FALSE,new,Pilot: RCIP | Listed as [not hiring] on source PDF
timmins|st-mary-s-gardens-gp-inc,timmins,St. Mary’s Gardens GP Inc.,"Timmins region, ON",Health,unknown,https://timminsedc.com/wp-content/uploads/2026/07/Designated-Employer-List-Timmins-Regional-RCIP-FCIP.pdf,pdf,2026-09-10T19:44:08.757Z,2026-09-10T19:44:08.757Z,active,FALSE,new,Pilot: RCIP
timmins|lasalle-retirement-residencelady-minto-hospital-moonbeam-retirement-residence,timmins,Lasalle Retirement ResidenceLady Minto Hospital Moonbeam Retirement Residence,"Timmins region, ON",Health,not_hiring,https://timminsedc.com/wp-content/uploads/2026/07/Designated-Employer-List-Timmins-Regional-RCIP-FCIP.pdf,pdf,2026-09-10T19:44:08.757Z,2026-09-10T19:44:08.757Z,active,FALSE,new,Pilot: RCIP | Listed as [not hiring] on source PDF
timmins|smooth-rock-falls-hospital,timmins,Smooth Rock Falls Hospital,"Timmins region, ON",Health,not_hiring,https://timminsedc.com/wp-content/uploads/2026/07/Designated-Employer-List-Timmins-Regional-RCIP-FCIP.pdf,pdf,2026-09-10T19:44:08.757Z,2026-09-10T19:44:08.757Z,active,FALSE,new,Pilot: RCIP | Listed as [not hiring] on source PDF
timmins|spruce-hill-lodge,timmins,Spruce Hill Lodge,"Timmins region, ON",Health,not_hiring,https://timminsedc.com/wp-content/uploads/2026/07/Designated-Employer-List-Timmins-Regional-RCIP-FCIP.pdf,pdf,2026-09-10T19:44:08.757Z,2026-09-10T19:44:08.757Z,active,FALSE,new,Pilot: RCIP | Listed as [not hiring] on source PDF
timmins|timmins-and-district-hospital,timmins,Timmins and District Hospital,"Timmins region, ON",Health,unknown,https://timminsedc.com/wp-content/uploads/2026/07/Designated-Employer-List-Timmins-Regional-RCIP-FCIP.pdf,pdf,2026-09-10T19:44:08.757Z,2026-09-10T19:44:08.757Z,active,FALSE,new,Pilot: RCIP
timmins|timmins-animal-hospital,timmins,Timmins Animal Hospital,"Timmins region, ON",Health,not_hiring,https://timminsedc.com/wp-content/uploads/2026/07/Designated-Employer-List-Timmins-Regional-RCIP-FCIP.pdf,pdf,2026-09-10T19:44:08.757Z,2026-09-10T19:44:08.757Z,active,FALSE,new,Pilot: RCIP | Listed as [not hiring] on source PDF
timmins|the-walford-timmins,timmins,The Walford Timmins,"Timmins region, ON",Health,unknown,https://timminsedc.com/wp-content/uploads/2026/07/Designated-Employer-List-Timmins-Regional-RCIP-FCIP.pdf,pdf,2026-09-10T19:44:08.757Z,2026-09-10T19:44:08.757Z,active,FALSE,new,Pilot: RCIP
timmins|afeseo,timmins,AFESEO,"Timmins region, ON","Education and Social, Community and Government Services",unknown,https://timminsedc.com/wp-content/uploads/2026/07/Designated-Employer-List-Timmins-Regional-RCIP-FCIP.pdf,pdf,2026-09-10T19:44:08.757Z,2026-09-10T19:44:08.757Z,active,FALSE,new,Pilot: RCIP/FCIP
timmins|anti-hunger-coalition-timmins,timmins,Anti-Hunger Coalition Timmins,"Timmins region, ON","Education and Social, Community and Government Services",not_hiring,https://timminsedc.com/wp-content/uploads/2026/07/Designated-Employer-List-Timmins-Regional-RCIP-FCIP.pdf,pdf,2026-09-10T19:44:08.757Z,2026-09-10T19:44:08.757Z,active,FALSE,new,Pilot: RCIP | Listed as [not hiring] on source PDF
timmins|centre-pour-enfants-timiskaming-childcare,timmins,Centre Pour Enfants Timiskaming Childcare,"Timmins region, ON","Education and Social, Community and Government Services",not_hiring,https://timminsedc.com/wp-content/uploads/2026/07/Designated-Employer-List-Timmins-Regional-RCIP-FCIP.pdf,pdf,2026-09-10T19:44:08.757Z,2026-09-10T19:44:08.757Z,active,FALSE,new,Pilot: RCIP | Listed as [not hiring] on source PDF
timmins|cochrane-district-services-board,timmins,Cochrane District Services Board,"Timmins region, ON","Education and Social, Community and Government Services",unknown,https://timminsedc.com/wp-content/uploads/2026/07/Designated-Employer-List-Timmins-Regional-RCIP-FCIP.pdf,pdf,2026-09-10T19:44:08.757Z,2026-09-10T19:44:08.757Z,active,FALSE,new,Pilot: RCIP
timmins|cochrane-temiskaming-resource-centre,timmins,Cochrane Temiskaming Resource Centre,"Timmins region, ON","Education and Social, Community and Government Services",unknown,https://timminsedc.com/wp-content/uploads/2026/07/Designated-Employer-List-Timmins-Regional-RCIP-FCIP.pdf,pdf,2026-09-10T19:44:08.757Z,2026-09-10T19:44:08.757Z,active,FALSE,new,Pilot: RCIP
