record_id,community_id,noc_code,noc_title,sector,year,is_secondary,restriction_notes,source_url,source_type,first_seen_at,last_seen_at,status,manual_override,review_status
timmins|11102|2026,timmins,11102,Financial advisor,,2026,TRUE,Marked * on source list | FCIP priority occupation,https://timminsedc.com/immigration/,html,2026-09-10T19:44:08.622Z,2026-09-10T19:44:08.622Z,active,FALSE,new
timmins|12200|2026,timmins,12200,Accounting technicians and bookkeepers,,2026,FALSE,A degree or diploma in accounting or bookkeeping is required to apply for this NOC | RCIP priority occupation | Also on FCIP list,https://timminsedc.com/immigration/,html,2026-09-10T19:44:08.622Z,2026-09-10T19:44:08.622Z,active,FALSE,new
timmins|13110|2026,timmins,13110,Administrative assistants,,2026,TRUE,FCIP priority occupation,https://timminsedc.com/immigration/,html,2026-09-10T19:44:08.622Z,2026-09-10T19:44:08.622Z,active,FALSE,new
timmins|21330|2026,timmins,21330,Mining engineers,,2026,FALSE,Marked * on source list | RCIP priority occupation,https://timminsedc.com/immigration/,html,2026-09-10T19:44:08.622Z,2026-09-10T19:44:08.622Z,active,FALSE,new
timmins|22101|2026,timmins,22101,Geological and mineral technologists and technicians,,2026,FALSE,Marked * on source list | RCIP priority occupation,https://timminsedc.com/immigration/,html,2026-09-10T19:44:08.622Z,2026-09-10T19:44:08.622Z,active,FALSE,new
timmins|31301|2026,timmins,31301,Registered nurses and registered psychiatric nurses,,2026,FALSE,RCIP priority occupation | Also on FCIP list,https://timminsedc.com/immigration/,html,2026-09-10T19:44:08.622Z,2026-09-10T19:44:08.622Z,active,FALSE,new
timmins|32101|2026,timmins,32101,Licensed practical nurses,,2026,FALSE,RCIP priority occupation | Also on FCIP list,https://timminsedc.com/immigration/,html,2026-09-10T19:44:08.622Z,2026-09-10T19:44:08.622Z,active,FALSE,new
timmins|32104|2026,timmins,32104,Animal health technologists and veterinary technicians,,2026,FALSE,RCIP priority occupation | Also on FCIP list,https://timminsedc.com/immigration/,html,2026-09-10T19:44:08.622Z,2026-09-10T19:44:08.622Z,active,FALSE,new
timmins|33101|2026,timmins,33101,Medical laboratory assistants and related technical occupations,,2026,FALSE,RCIP priority occupation | Also on FCIP list,https://timminsedc.com/immigration/,html,2026-09-10T19:44:08.622Z,2026-09-10T19:44:08.622Z,active,FALSE,new
timmins|33102|2026,timmins,33102,"Nurse aides, orderlies and patient service associates",,2026,FALSE,RCIP priority occupation | Also on FCIP list,https://timminsedc.com/immigration/,html,2026-09-10T19:44:08.622Z,2026-09-10T19:44:08.622Z,active,FALSE,new
timmins|41221|2026,timmins,41221,Elementary school and kindergarten teachers,,2026,TRUE,Marked * on source list | FCIP priority occupation,https://timminsedc.com/immigration/,html,2026-09-10T19:44:08.622Z,2026-09-10T19:44:08.622Z,active,FALSE,new
timmins|42201|2026,timmins,42201,Social and community service workers,,2026,FALSE,RCIP priority occupation | Also on FCIP list,https://timminsedc.com/immigration/,html,2026-09-10T19:44:08.622Z,2026-09-10T19:44:08.622Z,active,FALSE,new
timmins|42202|2026,timmins,42202,Early childhood educators and assistants,,2026,FALSE,RCIP priority occupation | Also on FCIP list,https://timminsedc.com/immigration/,html,2026-09-10T19:44:08.622Z,2026-09-10T19:44:08.622Z,active,FALSE,new
